.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR10983637	1	1	1	0.25	0.5	1	1	0.25	0.5	0.25
SRR10983638	1	1	1	0.25	1	1	1	0.25	1	1
SRR10983639	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR10983640	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR10983641	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5
SRR10983642	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR10983643	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR10983644	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR10983646	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR10983647	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR10983648	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR10983649	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR10983650	1	1	1	0.25	0.25	1	1	0.25	0.5	1
SRR10983651	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR10983652	1	1	1	0.25	0.5	1	1	0.25	0.5	0.5
SRR10983653	1	1	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR10983654	1	1	1	0.25	0.5	1	1	0.25	0.5	0.5
SRR10983655	1	1	1	0.25	0.5	1	1	0.25	0.25	0.25
SRR10983656	1	1	1	0.25	0.5	1	1	0.25	0.5	0.5
SRR10983657	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR10983658	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR10983659	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR10983660	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR10983661	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR10983662	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR10983663	1	1	1	0.25	0.5	1	1	0.25	0.5	1
