Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
SRR10983637 - illumina_universal_adapter	(1, 0.017640449398310037)	(2, 0.01764552140791277)	(3, 0.01787883384963855)	(4, 0.019740261373842053)	(5, 0.02071915922716978)	(6, 0.022793611154688125)	(7, 0.026202001607725605)	(8, 0.03344483132043024)	(9, 0.04655597614349851)	(10, 0.059758417139416)	(11, 0.10518840715110749)	(12, 0.11449047276252228)	(13, 0.11694025340064296)	(14, 0.1196639225573113)	(15, 0.1266531517898792)	(16, 0.15634976801388878)	(17, 0.8061198462105824)	(18, 1.3332284441747488)	(19, 1.4680424594154275)	(20, 1.487529120309133)	(21, 1.566398869631652)	(22, 1.589958354236353)	(23, 1.6518216553609038)	(24, 2.397919339932728)	(25, 2.501236175540426)	(26, 3.106296489089017)	(27, 12.938316095855098)	(28, 14.581332742545655)	(29, 14.686810254244119)	(30, 14.756798914752249)	(31, 14.945178423407405)	(32, 15.237300816476889)	(33, 15.404428604896589)	(34, 15.582461213962167)	(35, 15.674127643512385)	(36, 15.722301590719155)	(37, 15.757110792622722)	(38, 15.78185205546486)	(39, 15.823462822245691)	(40, 15.946712655592137)
SRR10983638 - illumina_universal_adapter	(1, 0.0015121891423496413)	(2, 0.0015121891423496413)	(3, 0.0015310915066290118)	(4, 0.0015499938709083825)	(5, 0.0016114265548163365)	(6, 0.0016775848297941333)	(7, 0.0018429805172386253)	(8, 0.0021973998474768227)	(9, 0.0030527318311183386)	(10, 0.003719040171966149)	(11, 0.005533667142785719)	(12, 0.005982598294420769)	(13, 0.006091286889027149)	(14, 0.0063370176246589655)	(15, 0.006630004270989209)	(16, 0.008529691881065947)	(17, 0.04717085005916913)	(18, 0.07734374904011432)	(19, 0.08506063925716732)	(20, 0.08622313466034862)	(21, 0.0908116835891658)	(22, 0.09284368774919814)	(23, 0.0985143970330093)	(24, 0.20508120124903043)	(25, 0.21417323846740766)	(26, 0.24641594633694391)	(27, 0.6869355458676738)	(28, 0.7786545429422495)	(29, 0.7839377537583334)	(30, 0.7875481053356932)	(31, 0.7983602577034932)	(32, 0.8147958634444058)	(33, 0.8250078657463358)	(34, 0.8346338947556052)	(35, 0.8406070418678863)	(36, 0.8430643492242045)	(37, 0.8458193688179227)	(38, 0.8480592989850281)	(39, 0.852387940405004)	(40, 0.8611208327020732)
SRR10983638 - polya	(1, 3.780472855874103e-05)	(2, 3.780472855874103e-05)	(3, 0.0005576197462414303)	(4, 0.0010868859460638047)	(5, 0.0016728592387242908)	(6, 0.0032984625667501553)	(7, 0.0034213279345660635)	(8, 0.004640530430585462)	(9, 0.024521092061413403)	(10, 0.04403305758879362)	(11, 0.09246564046361072)	(12, 0.11446326689372817)	(13, 0.13639000945779797)	(14, 0.16414813140205356)	(15, 0.18424134463102443)	(16, 0.20002009321322897)	(17, 0.22784437343246236)	(18, 0.24166200172068222)	(19, 0.2606068963196813)	(20, 0.27679677132496217)	(21, 0.2877223378784383)	(22, 0.30091618814543897)	(23, 0.3124041000362264)	(24, 0.3253333172033158)	(25, 0.34007716134122484)	(26, 0.3534789376152985)	(27, 0.36793452069794713)	(28, 0.3791672506709631)	(29, 0.39759233025227947)	(30, 0.42199055694587695)	(31, 0.4398296632345329)	(32, 0.45532487635254687)	(33, 0.473608188201768)	(34, 0.509191888957683)	(35, 0.5539715899355118)	(36, 0.655430030205033)	(37, 0.7136209586390752)	(38, 0.7378537896452282)	(39, 0.7518179112566131)	(40, 0.7667366022641063)
SRR10983639 - illumina_universal_adapter	(1, 0.003265108053325471)	(2, 0.003265108053325471)	(3, 0.0032895474848623385)	(4, 0.003338426347936073)	(5, 0.003392193097317181)	(6, 0.0034410719603909156)	(7, 0.0035632691180752523)	(8, 0.003915196932206141)	(9, 0.004584837356316305)	(10, 0.005005195578750422)	(11, 0.0069799016469293)	(12, 0.0074246993009002855)	(13, 0.00761532686688785)	(14, 0.007986806226248233)	(15, 0.008343621926686496)	(16, 0.009868642454587014)	(17, 0.04636160162543727)	(18, 0.0751023731127932)	(19, 0.0822680144394027)	(20, 0.08355352853824191)	(21, 0.08957051658261865)	(22, 0.091603877286486)	(23, 0.09770395939808808)	(24, 0.28740771487355943)	(25, 0.2969146537414008)	(26, 0.3368584606452567)	(27, 0.9039852452308771)	(28, 1.0246476066146983)	(29, 1.0316226203753203)	(30, 1.0372583532877218)	(31, 1.0558274333694337)	(32, 1.0785756562439497)	(33, 1.0932295393934552)	(34, 1.1054541430481963)	(35, 1.1137488861118092)	(36, 1.1175809889767898)	(37, 1.1210073972782588)	(38, 1.1244191419208054)	(39, 1.1297713774273794)	(40, 1.1405980455982117)
SRR10983639 - polya	(1, 4.399097676636114e-05)	(2, 5.376674938110806e-05)	(3, 0.0007136314008765251)	(4, 0.0011242138506958957)	(5, 0.0015445720731300132)	(6, 0.0026003555155226805)	(7, 0.003626811640071107)	(8, 0.0047314739455375085)	(9, 0.02465449853439173)	(10, 0.038775602076393655)	(11, 0.08175478637712849)	(12, 0.10190265373612188)	(13, 0.12870782224575794)	(14, 0.15340631175691602)	(15, 0.17894551771294234)	(16, 0.19795939544862512)	(17, 0.22362568644864314)	(18, 0.24543543515214353)	(19, 0.2651042896530143)	(20, 0.28224610693297303)	(21, 0.29399658561589886)	(22, 0.3058888130017385)	(23, 0.3180058831577173)	(24, 0.3279331802479928)	(25, 0.3452949524117833)	(26, 0.3571969555702377)	(27, 0.36750061990618094)	(28, 0.3810058497734538)	(29, 0.40121725965444305)	(30, 0.4197423487593885)	(31, 0.43143906069293314)	(32, 0.4554239188032147)	(33, 0.48113420077999913)	(34, 0.5063850214438904)	(35, 0.5347836408897302)	(36, 0.6355425292299267)	(37, 0.6906778867770993)	(38, 0.7157136404434662)	(39, 0.7406809637015298)	(40, 0.7518742233454151)
SRR10983640 - illumina_universal_adapter	(1, 0.002018615142246543)	(2, 0.002018615142246543)	(3, 0.0020311531244965216)	(4, 0.0020750360623714467)	(5, 0.002087574044621425)	(6, 0.0021251879913713606)	(7, 0.002225491849371189)	(8, 0.002463713512120781)	(9, 0.0029088118819950185)	(10, 0.0032097234559945033)	(11, 0.004062306248993043)	(12, 0.004394562778617475)	(13, 0.004482328654367324)	(14, 0.004563825538992185)	(15, 0.004802047201741776)	(16, 0.0059618105598647905)	(17, 0.023120039268960408)	(18, 0.036416569445062635)	(19, 0.039839438599306776)	(20, 0.04054156560530557)	(21, 0.04335007362930076)	(22, 0.044108621555424464)	(23, 0.047061316375294406)	(24, 0.20574828872214765)	(25, 0.21006762360726525)	(26, 0.22775871656198496)	(27, 0.4827687375442983)	(28, 0.5352025793137085)	(29, 0.5383433438673281)	(30, 0.5413587285984479)	(31, 0.5536898341413018)	(32, 0.566422155116155)	(33, 0.5738947925371422)	(34, 0.5807217238722555)	(35, 0.583373507118126)	(36, 0.5853043563846226)	(37, 0.5873543164824941)	(38, 0.5899183338526147)	(39, 0.5931844782287342)	(40, 0.5988265702412245)
SRR10983640 - polya	(1, 6.268991124989264e-05)	(2, 6.268991124989264e-05)	(3, 0.00021314569824963498)	(4, 0.0014167919942475737)	(5, 0.002137725973621339)	(6, 0.003949464408743237)	(7, 0.004287989929492657)	(8, 0.006005693497739715)	(9, 0.026881433943953967)	(10, 0.041300113531429275)	(11, 0.08495736772585451)	(12, 0.10266726765394918)	(13, 0.12629509520403373)	(14, 0.1476347409934972)	(15, 0.16965143782445946)	(16, 0.18892231654267647)	(17, 0.2102870382966399)	(18, 0.2258780192244882)	(19, 0.244076900460332)	(20, 0.25835766224305756)	(21, 0.2728641077062827)	(22, 0.2816218883078927)	(23, 0.29236067010499933)	(24, 0.303061837955356)	(25, 0.3169288463238323)	(26, 0.32680250734569033)	(27, 0.3432460710665372)	(28, 0.35501296740814203)	(29, 0.37533076764423223)	(30, 0.39443238360207455)	(31, 0.41317039807466743)	(32, 0.4318081086892605)	(33, 0.4518500733158512)	(34, 0.47856224449943047)	(35, 0.5073306447720062)	(36, 0.5890970960152412)	(37, 0.6234887813269323)	(38, 0.6470978019036419)	(39, 0.6650772684501111)	(40, 0.6754649867442183)
SRR10983641 - illumina_universal_adapter	(1, 0.007147109535055414)	(2, 0.007154836139958176)	(3, 0.0071625627448609385)	(4, 0.007595252619415645)	(5, 0.007765237927276422)	(6, 0.008136114962609027)	(7, 0.008684703910705173)	(8, 0.009936413904952715)	(9, 0.012486193522864376)	(10, 0.015468663015330742)	(11, 0.024531970566271284)	(12, 0.026177737410559718)	(13, 0.02698130432044703)	(14, 0.02753761987344594)	(15, 0.028596164745124417)	(16, 0.03901162815404841)	(17, 0.2157190822802293)	(18, 0.35402531003967996)	(19, 0.39074986314251065)	(20, 0.39700841311374835)	(21, 0.42334068262236335)	(22, 0.42997783623383645)	(23, 0.45175140884982146)	(24, 0.8282225061320269)	(25, 0.8616323457315723)	(26, 1.0683035736706665)	(27, 3.960595860316891)	(28, 4.5516347757488145)	(29, 4.587076712437787)	(30, 4.617063666065408)	(31, 4.698169837729707)	(32, 4.79785849418515)	(33, 4.863998232152798)	(34, 4.917868121534859)	(35, 4.943103213147282)	(36, 4.964258657371046)	(37, 4.980986756985527)	(38, 4.993612029396641)	(39, 5.0090111529678465)	(40, 5.051940169807596)
SRR10983642 - illumina_universal_adapter	(1, 0.0028219780783612005)	(2, 0.0028219780783612005)	(3, 0.002831479688052652)	(4, 0.0028884893462013633)	(5, 0.002907492565584267)	(6, 0.0029835054431158817)	(7, 0.0031545344175620154)	(8, 0.003344566611391052)	(9, 0.0035963592682145265)	(10, 0.003810145486272193)	(11, 0.005107115209155371)	(12, 0.005240137744835697)	(13, 0.005339904646595941)	(14, 0.005420668328973282)	(15, 0.005591697303419416)	(16, 0.006095282617066364)	(17, 0.025944145262509283)	(18, 0.04052911613888788)	(19, 0.043707404580678524)	(20, 0.04436776645423443)	(21, 0.0478453556013058)	(22, 0.04884777542375398)	(23, 0.051512976942206225)	(24, 0.16329466415729155)	(25, 0.1683970285616012)	(26, 0.19501578811220355)	(27, 0.7169487100733453)	(28, 0.7835834988394972)	(29, 0.7881775271253141)	(30, 0.7910470132521326)	(31, 0.802653229490241)	(32, 0.8212716336806409)	(33, 0.8312103174178995)	(34, 0.8392724332410965)	(35, 0.8428592908996195)	(36, 0.8488072985664684)	(37, 0.8517052895223612)	(38, 0.8541044459694528)	(39, 0.8593683377385172)	(40, 0.8692025037691697)
SRR10983642 - polya	(1, 1.425241453717778e-05)	(2, 1.425241453717778e-05)	(3, 0.0007031191171674371)	(4, 0.002085603327273682)	(5, 0.002774470029903941)	(6, 0.003553602024602993)	(7, 0.0038006438765807414)	(8, 0.004670041163348586)	(9, 0.020428460836621483)	(10, 0.030804218619686907)	(11, 0.06722863937186759)	(12, 0.08224593348920724)	(13, 0.09637957790524188)	(14, 0.10811406587418491)	(15, 0.12395324922983515)	(16, 0.13973067212249096)	(17, 0.1559214150367249)	(18, 0.16764165059113076)	(19, 0.18350933877585537)	(20, 0.19532459042717573)	(21, 0.20688804942167266)	(22, 0.22168680651610892)	(23, 0.23077984699082835)	(24, 0.24094656936068182)	(25, 0.2551657282639395)	(26, 0.2653562046580216)	(27, 0.27446824835212397)	(28, 0.2903359365368485)	(29, 0.30541974192202836)	(30, 0.3236295768956958)	(31, 0.342936847788726)	(32, 0.3589328077042852)	(33, 0.3721257927608661)	(34, 0.39329537915342083)	(35, 0.417785778133138)	(36, 0.48097623338613854)	(37, 0.5116236754459165)	(38, 0.5319808742098521)	(39, 0.5454541567523308)	(40, 0.5550507825406972)
