Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR10983637	0.6559883619696459	6.635116738133818
SRR10983638	0.0	0.0
SRR10983639	0.10069534581820064	0.0
SRR10983640	0.11906067944579611	0.0
SRR10983641	4.003154000121308	13.664245792573881
SRR10983642	0.4367177354433558	0.2595127146977787
SRR10983643	0.5378875976778084	4.327995608269277
SRR10983644	2.3652951840795855	9.5152191209955
SRR10983646	0.4128570371185611	0.31201817273901505
SRR10983647	0.4303717876090103	0.5925756608060486
SRR10983648	0.34098462659876005	0.25318028858410246
SRR10983649	0.32452960018525295	0.25837371761957634
SRR10983650	0.9805213038489404	1.220841754226624
SRR10983651	0.4440878534316817	0.4654568143101036
SRR10983652	0.8805509487297596	8.798187204376921
SRR10983653	1.2504234725763994	13.996471696011316
SRR10983654	0.9128376960157296	15.206092341998898
SRR10983655	1.7983947498331048	10.40335847321347
SRR10983656	0.5556436086044861	4.505559034372735
SRR10983657	0.4588139876608454	1.657151722603435
SRR10983658	0.18086301793563175	0.1266296665081339
SRR10983659	0.27520082000761636	0.267192933128806
SRR10983660	0.40391682173598886	0.519964939107067
SRR10983661	0.3414177713979684	2.398715198995292
SRR10983662	0.36569416859604087	0.2875213285491104
SRR10983663	0.33477898880416274	0.24879727966381054
