Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
SRR10983637	(1, 0.1379637332039768)	(2, 0.0)	(3, 2.5360048013671704e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0005477770370953088)	(16, 0.0002586724897394514)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 1.0144019205468682e-05)	(21, 0.00014201626887656155)	(22, 1.0144019205468682e-05)	(23, 8.622416324648379e-05)	(24, 0.0003093925857667948)	(25, 0.0)	(26, 5.072009602734341e-05)	(27, 0.00011665622086288983)	(28, 0.00048691292186249665)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0008470256036566348)	(34, 0.0)	(35, 1.521602880820302e-05)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0001115842112601555)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.008105071345169476)	(50, 0.007846398855430025)	(51, 5.579210563007775e-05)
SRR10983638	(1, 0.15197500880613896)	(2, 0.0)	(3, 1.8902364279370516e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 4.725591069842629e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0004253031962858367)	(16, 0.00026935869098102986)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 9.451182139685258e-06)	(21, 0.00016067009637464938)	(22, 0.0)	(23, 8.033504818732469e-05)	(24, 0.00036859610344772506)	(25, 0.0)	(26, 2.8353546419055776e-05)	(27, 0.00017012127851433466)	(28, 0.0005387173819620597)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.000713564251546237)	(34, 0.0)	(35, 4.725591069842629e-06)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 7.560945711748206e-05)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.007887011495567349)	(50, 0.0079815233169642)	(51, 2.362795534921315e-05)
SRR10983639	(1, 0.1511090051924505)	(2, 0.0)	(3, 2.4439431536867297e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 4.88788630737346e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0004594613128931052)	(16, 0.00026394586059816686)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 4.88788630737346e-06)	(21, 0.0001466365892212038)	(22, 9.77577261474692e-06)	(23, 3.421520415161422e-05)	(24, 0.00024439431536867295)	(25, 0.0)	(26, 2.9327317844240753e-05)	(27, 0.00013686081660645687)	(28, 0.0003274883825940218)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0006598646514954171)	(34, 0.0)	(35, 9.77577261474692e-06)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 8.798195353272227e-05)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.007771739228723802)	(50, 0.007923263704252378)	(51, 3.421520415161422e-05)
SRR10983640	(1, 0.15251201608873882)	(2, 0.0)	(3, 6.268991124989265e-06)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0003698704763743666)	(16, 0.0002444906538745813)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 6.268991124989265e-06)	(21, 0.00016299376924972086)	(22, 1.253798224997853e-05)	(23, 7.522789349987117e-05)	(24, 0.00032598753849944173)	(25, 0.0)	(26, 5.015192899991412e-05)	(27, 0.00016299376924972086)	(28, 0.000520326263374109)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0007334719616237439)	(34, 0.0)	(35, 1.253798224997853e-05)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 8.77658757498497e-05)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.008306413240610775)	(50, 0.008325220213985744)	(51, 3.7613946749935584e-05)
SRR10983641	(1, 0.14980341585476145)	(2, 0.0)	(3, 3.0906419611050434e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.00048677610887404435)	(16, 0.00024725135688840347)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 7.726604902762608e-06)	(21, 0.0002008917274718278)	(22, 0.0)	(23, 6.953944412486347e-05)	(24, 0.0002704311715966913)	(25, 0.0)	(26, 6.953944412486347e-05)	(27, 0.00017771191276354)	(28, 0.0006413082069292966)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0006799412314431096)	(34, 0.0)	(35, 1.5453209805525217e-05)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0001004458637359139)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.00802794249397035)	(50, 0.008012489284164825)	(51, 5.408623431933827e-05)
SRR10983642	(1, 0.940892148891174)	(2, 0.0)	(3, 0.0002280386325948445)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 9.501609691451853e-06)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0008884005061507483)	(24, 0.0)	(25, 1.9003219382903707e-05)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 3.3255633920081486e-05)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 9.501609691451853e-06)	(49, 0.0)	(50, 0.0)	(51, 1.4252414537177781e-05)
SRR10983643	(1, 0.9301104973504304)	(2, 0.0)	(3, 0.0002451350564784361)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0006809307124401002)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 2.0427921373203007e-05)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 2.723722849760401e-05)
SRR10983644	(1, 0.11178236088308365)	(2, 0.0)	(3, 0.0006265492923036236)	(4, 7.757276952330579e-05)	(5, 0.0)	(6, 0.0)	(7, 7.757276952330579e-05)	(8, 0.0)	(9, 0.0)	(10, 9.54741778748379e-05)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0007041220618269294)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0018199765157390973)	(24, 0.0)	(25, 0.0011814929512011189)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0005310751144287857)	(39, 0.0012351971762557153)	(40, 2.3868544468709473e-05)	(41, 0.001509685437645874)	(42, 0.0006444507006551557)	(43, 0.002255577452293045)	(44, 0.00039979811985088365)	(45, 0.000745892014647171)	(46, 5.967136117177368e-06)	(47, 0.0005012394338428989)	(48, 0.0)	(49, 0.0)	(50, 0.00013724413069507945)	(51, 0.0001849812196324984)
SRR10983646	(1, 0.11488273516819061)	(2, 0.0)	(3, 0.0007371915207188794)	(4, 8.935654796592478e-05)	(5, 0.0)	(6, 0.0)	(7, 0.00011169568495740597)	(8, 0.0)	(9, 0.0)	(10, 0.00011169568495740597)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0006999596257330774)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.002405180416082808)	(24, 0.0)	(25, 0.0014148120094604757)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0006106030777671526)	(39, 0.0015860787263951648)	(40, 1.4892757994320796e-05)	(41, 0.0021371107721850345)	(42, 0.000841440826679125)	(43, 0.002881748671901074)	(44, 0.0005212465298012278)	(45, 0.0008488872056762853)	(46, 1.4892757994320796e-05)	(47, 0.0006478349727529546)	(48, 0.0)	(49, 0.0)	(50, 0.00024573050690629314)	(51, 0.00021594499091765154)
SRR10983647	(1, 0.11560439480883726)	(2, 0.0)	(3, 0.0007292813044532259)	(4, 6.387865440466212e-05)	(5, 0.0)	(6, 0.0)	(7, 0.00014905019361087827)	(8, 0.0)	(9, 0.0)	(10, 0.0001011412028073817)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0007079884196516718)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0019695918441437485)	(24, 0.0)	(25, 0.001314835636495962)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.000532322120038851)	(39, 0.00135742140609907)	(40, 2.6616106001942552e-05)	(41, 0.0016927843417235463)	(42, 0.0007771902952567225)	(43, 0.0024859443005814342)	(44, 0.00037794870522758425)	(45, 0.0008197760648598305)	(46, 2.6616106001942552e-05)	(47, 0.0005802311108423476)	(48, 0.0)	(49, 0.0)	(50, 0.0003140700508229221)	(51, 0.00018631274201359786)
