Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
SRR10983637	(1, 30.732109335687962)	(2, 31.76847701398216)	(3, 28.98019015065441)	(4, 28.829702154858495)	(5, 29.119992385899184)	(6, 31.840189751994455)	(7, 32.45064196679142)	(8, 33.92332744523738)	(9, 34.55467187622917)	(10, 34.8482811289137)	(11, 35.05867412292654)	(12, 35.19400238922084)	(13, 35.32241197793615)	(14, 35.044652450939594)	(15, 35.28200637135702)	(16, 35.27152957760152)	(17, 35.21075954814684)	(18, 35.208226434390944)	(19, 35.31000868277324)	(20, 35.35774592995321)	(21, 35.207048612320996)	(22, 35.33258505975664)	(23, 35.31431836933268)	(24, 35.3322753121302)	(25, 35.34709719507218)	(26, 35.33899090644471)	(27, 35.144609232345765)	(28, 35.23266941234834)	(29, 35.22970832242217)	(30, 35.25480655330015)	(31, 35.173415913764885)	(32, 35.20913543995194)	(33, 35.178111022334036)	(34, 35.10682068128146)	(35, 35.1040662250265)	(36, 35.17760174184983)	(37, 35.101618473192225)	(38, 35.10170383511384)	(39, 35.06903101437504)	(40, 35.06118263743586)	(41, 35.05285957111797)	(42, 35.07625543269288)	(43, 35.08363135193757)	(44, 35.02050400457982)	(45, 35.04950976237584)	(46, 35.09353511004815)	(47, 34.987790455603914)	(48, 35.04621569501925)	(49, 34.90579731204794)	(50, 34.98233165454887)	(51, 34.363787657071896)
SRR10983638	(1, 31.309448006542485)	(2, 32.23340275541654)	(3, 29.501918589974355)	(4, 29.41925930707524)	(5, 29.768919258267445)	(6, 32.573071767457066)	(7, 33.139345205089235)	(8, 34.455957822020444)	(9, 34.86488008765404)	(10, 35.07042326268606)	(11, 35.23768919730826)	(12, 35.42006005848202)	(13, 35.48919814942073)	(14, 35.34566564534042)	(15, 35.476031896605576)	(16, 35.49552651921373)	(17, 35.43183391588845)	(18, 35.46056064223429)	(19, 35.47463331067255)	(20, 35.50633148868311)	(21, 35.42194911351219)	(22, 35.51533520460439)	(23, 35.50373562699662)	(24, 35.4873119297452)	(25, 35.47795790575792)	(26, 35.42395739520506)	(27, 35.29290654756161)	(28, 35.368806439506244)	(29, 35.36894012647761)	(30, 35.32613061892862)	(31, 35.26019189491193)	(32, 35.31483900809087)	(33, 35.29451485522632)	(34, 35.242656596873154)	(35, 35.241310323233265)	(36, 35.26632618467969)	(37, 35.22861076979217)	(38, 35.26597790861784)	(39, 35.25641619490303)	(40, 35.23296904066815)	(41, 35.23513038425577)	(42, 35.213826002035596)	(43, 35.19442754520571)	(44, 35.21047026530508)	(45, 35.16451795615918)	(46, 35.17913647762192)	(47, 35.16691160980379)	(48, 35.16441687576619)	(49, 35.11463957869655)	(50, 35.12322541059952)	(51, 34.584552969008534)
SRR10983639	(1, 31.279913118798465)	(2, 32.207226730129676)	(3, 29.484490370155232)	(4, 29.40173830833481)	(5, 29.725254745636597)	(6, 32.51675701843041)	(7, 33.0828979652267)	(8, 34.426344807825664)	(9, 34.85475440546415)	(10, 35.07498301092917)	(11, 35.24631237083455)	(12, 35.43497749934857)	(13, 35.49932583828105)	(14, 35.35767547963973)	(15, 35.48693876128546)	(16, 35.506630344457655)	(17, 35.43696374082843)	(18, 35.47426197926842)	(19, 35.4866267186236)	(20, 35.51319198967327)	(21, 35.42615462016944)	(22, 35.52096079617021)	(23, 35.51000846044241)	(24, 35.49350676075326)	(25, 35.48843582310368)	(26, 35.43538114099983)	(27, 35.3080238417408)	(28, 35.38637304221213)	(29, 35.39035305251677)	(30, 35.35228262579794)	(31, 35.281523188548114)	(32, 35.34400156881599)	(33, 35.321074644818076)	(34, 35.27184883957425)	(35, 35.27533849712453)	(36, 35.299332495582206)	(37, 35.26268004468115)	(38, 35.30744941734196)	(39, 35.298833491269086)	(40, 35.27820964154148)	(41, 35.274129576204125)	(42, 35.25672381306357)	(43, 35.23925406749125)	(44, 35.253231076144914)	(45, 35.20990705146519)	(46, 35.230053354700566)	(47, 35.21554752562731)	(48, 35.218553086917716)	(49, 35.16862890047828)	(50, 35.17573266116424)	(51, 34.64261471417034)
SRR10983640	(1, 31.294525352740457)	(2, 32.22763258446055)	(3, 29.53095101222265)	(4, 29.433612010885476)	(5, 29.742376938136967)	(6, 32.54280736706761)	(7, 33.10271641654437)	(8, 34.44714005490383)	(9, 34.873961306532976)	(10, 35.09429371351839)	(11, 35.26266126196045)	(12, 35.462262240675344)	(13, 35.522055564575936)	(14, 35.37935665105479)	(15, 35.50191172884357)	(16, 35.52554845836105)	(17, 35.45509471505241)	(18, 35.48964657308735)	(19, 35.49965526817804)	(20, 35.52565597155884)	(21, 35.44444150498416)	(22, 35.53774684936179)	(23, 35.5268014416172)	(24, 35.512865286276615)	(25, 35.501221575610614)	(26, 35.45170369237308)	(27, 35.32853933133687)	(28, 35.40719247620761)	(29, 35.40953714157827)	(30, 35.37597503186215)	(31, 35.3026597448646)	(32, 35.36216431903397)	(33, 35.335199319438324)	(34, 35.28323377130595)	(35, 35.28710995120844)	(36, 35.310337002155904)	(37, 35.27806605385189)	(38, 35.323562692732295)	(39, 35.31683681753412)	(40, 35.29272226551309)	(41, 35.29434486848597)	(42, 35.27598832212333)	(43, 35.25985563767237)	(44, 35.27361945844693)	(45, 35.2273040893256)	(46, 35.249452372280274)	(47, 35.2383782621479)	(48, 35.242305534328054)	(49, 35.194022705032054)	(50, 35.203103589436246)	(51, 34.684053065756075)
SRR10983641	(1, 31.129671746780613)	(2, 32.12579561816509)	(3, 29.282292900911315)	(4, 29.232662754171496)	(5, 29.56278751179756)	(6, 32.285281628953754)	(7, 32.84385381418056)	(8, 34.224258835082956)	(9, 34.718380395439915)	(10, 35.00864553002385)	(11, 35.177229309021314)	(12, 35.3622755469567)	(13, 35.46283545538098)	(14, 35.30141439366047)	(15, 35.419087882017834)	(16, 35.42575849182854)	(17, 35.33052862726433)	(18, 35.402579681578885)	(19, 35.44375228659214)	(20, 35.42642251625388)	(21, 35.41008584644377)	(22, 35.46237533605902)	(23, 35.42573994797677)	(24, 35.436107351903196)	(25, 35.466876469745124)	(26, 35.407473017729856)	(27, 35.277082773959336)	(28, 35.32404206518241)	(29, 35.363899602041215)	(30, 35.367804087296726)	(31, 35.27276746512114)	(32, 35.32686575294412)	(33, 35.316477718982604)	(34, 35.286595460851416)	(35, 35.266571655181714)	(36, 35.297164297367665)	(37, 35.27173712235736)	(38, 35.33430230109884)	(39, 35.32188966485465)	(40, 35.317977452994235)	(41, 35.25061922943342)	(42, 35.280791930642906)	(43, 35.27796059354233)	(44, 35.22968322078889)	(45, 35.25557569194645)	(46, 35.28111413006735)	(47, 35.18237677320754)	(48, 35.25143716782843)	(49, 35.138049240880385)	(50, 35.234651350475325)	(51, 34.64836259720552)
SRR10983642	(1, 30.846087937872774)	(2, 32.04189725291836)	(3, 29.486016124706726)	(4, 28.948513722581026)	(5, 29.03786629002286)	(6, 31.782244912066165)	(7, 31.990474778808466)	(8, 33.928637020219185)	(9, 34.31810325066695)	(10, 34.75945824672022)	(11, 35.0769001378446)	(12, 35.16170024654302)	(13, 35.32343165836582)	(14, 35.303750736671674)	(15, 35.36464394024153)	(16, 35.413187046550526)	(17, 35.426706839472445)	(18, 35.403068829898146)	(19, 35.39518235133009)	(20, 35.32270872839245)	(21, 35.35861659413376)	(22, 35.356772521724835)	(23, 35.371630711387894)	(24, 35.36521299164595)	(25, 35.361599244432)	(26, 35.28072505833394)	(27, 35.271588833043175)	(28, 35.25960183979669)	(29, 35.24209635914944)	(30, 35.20806477627391)	(31, 35.19569966646974)	(32, 35.19445001476313)	(33, 35.18145062500401)	(34, 35.16621868952374)	(35, 35.170479781405966)	(36, 35.15488231900087)	(37, 35.13056161877024)	(38, 35.13196049325706)	(39, 35.11343848289698)	(40, 35.10837103690829)	(41, 35.10024426263114)	(42, 35.09661507530144)	(43, 35.086152852870185)	(44, 35.061282627043056)	(45, 35.06944503235655)	(46, 35.05579007903677)	(47, 35.02764664368702)	(48, 35.01150174603955)	(49, 34.98811001818846)	(50, 34.989397343777505)	(51, 33.932375238520095)
SRR10983643	(1, 30.779376338284198)	(2, 31.98901815374898)	(3, 29.365023939481055)	(4, 28.86379458717282)	(5, 28.956138597181955)	(6, 31.686250892189467)	(7, 31.85445766524384)	(8, 33.85790691976771)	(9, 34.27459382142538)	(10, 34.742899560949496)	(11, 35.07041116366837)	(12, 35.13013001282465)	(13, 35.313784311928366)	(14, 35.285854849268496)	(15, 35.35528383847724)	(16, 35.390861106340815)	(17, 35.401025018620054)	(18, 35.38690483080846)	(19, 35.38405030116885)	(20, 35.32280235400471)	(21, 35.34260770042753)	(22, 35.353585869652704)	(23, 35.370726734197746)	(24, 35.35581012982489)	(25, 35.36431577154012)	(26, 35.29783691464302)	(27, 35.27798260930198)	(28, 35.27587642251533)	(29, 35.23981732807964)	(30, 35.23144331027112)	(31, 35.22084373852206)	(32, 35.20368694019835)	(33, 35.2181884492089)	(34, 35.20594994532807)	(35, 35.19884327576155)	(36, 35.20092542569405)	(37, 35.175390932535976)	(38, 35.17438322317463)	(39, 35.160889627804636)	(40, 35.15326293145302)	(41, 35.12257590368698)	(42, 35.14863750530956)	(43, 35.13947279075776)	(44, 35.080788411539814)	(45, 35.091921901060495)	(46, 35.106728058471795)	(47, 35.05425049888389)	(48, 35.05077223671167)	(49, 35.005638651043576)	(50, 35.03825965821908)	(51, 33.889587425443196)
SRR10983644	(1, 30.608603667473464)	(2, 31.80735930477613)	(3, 28.74425982390504)	(4, 28.351152534439624)	(5, 28.29472592287429)	(6, 31.30167805415033)	(7, 31.69499896708874)	(8, 33.81118775963755)	(9, 34.320729866673894)	(10, 34.461432430119764)	(11, 34.93181431131671)	(12, 35.035539546657574)	(13, 35.21739261452336)	(14, 35.27028841197681)	(15, 35.294914723061034)	(16, 35.30400947390267)	(17, 35.26194319310285)	(18, 35.2671023193184)	(19, 35.23991551012629)	(20, 35.22277616472828)	(21, 35.23827812797574)	(22, 35.13264991325574)	(23, 35.20433544661448)	(24, 35.250415163495354)	(25, 35.269911945359176)	(26, 35.17538081367629)	(27, 35.12635488300893)	(28, 35.13646673220173)	(29, 35.13548555600999)	(30, 35.189862217633625)	(31, 35.102474463939345)	(32, 35.02380230925781)	(33, 35.135116369298416)	(34, 35.03049528781228)	(35, 35.06811288962266)	(36, 35.11488300415229)	(37, 35.11187228562437)	(38, 35.11404826148086)	(39, 35.10792657653825)	(40, 35.06788840596193)	(41, 35.01224927734998)	(42, 35.08527055412855)	(43, 35.05619616076849)	(44, 34.92560526750134)	(45, 34.997323560437366)	(46, 35.07167879049493)	(47, 34.942829346232216)	(48, 35.02655136886699)	(49, 34.958316331968014)	(50, 34.98850616208245)	(51, 34.53731208444118)
SRR10983646	(1, 30.96614645270142)	(2, 32.10907225117292)	(3, 29.080877728520807)	(4, 28.683111448614103)	(5, 28.652005764093055)	(6, 31.729415043740776)	(7, 32.14197184285817)	(8, 34.13696661028765)	(9, 34.52730259537583)	(10, 34.668051891730244)	(11, 35.004309964163554)	(12, 35.16654615943323)	(13, 35.28733789419083)	(14, 35.32551480913516)	(15, 35.33533107271195)	(16, 35.36292802344954)	(17, 35.38313012413263)	(18, 35.340884805559405)	(19, 35.352032854019846)	(20, 35.333578641878766)	(21, 35.32931238795992)	(22, 35.25319721451812)	(23, 35.28544189717057)	(24, 35.32155676084301)	(25, 35.33104538374393)	(26, 35.2736354398792)	(27, 35.23595415592092)	(28, 35.23710380237429)	(29, 35.23585765084912)	(30, 35.18814981757116)	(31, 35.13855097634688)	(32, 35.114702830651616)	(33, 35.1287271174635)	(34, 35.03726882902563)	(35, 35.09476865068485)	(36, 35.107059792785144)	(37, 35.092112527296564)	(38, 35.105874180321216)	(39, 35.10595839886767)	(40, 35.09819621893725)	(41, 35.09002262656722)	(42, 35.095784038924904)	(43, 35.078783434427855)	(44, 35.068667603024004)	(45, 35.08140217699358)	(46, 35.04537331899856)	(47, 35.05131113607468)	(48, 35.036339371999205)	(49, 35.01560559985572)	(50, 35.027682956415006)	(51, 34.66172031013275)
SRR10983647	(1, 30.95666583872833)	(2, 32.092932636019746)	(3, 29.06413576598864)	(4, 28.674499875383393)	(5, 28.640349920880965)	(6, 31.70868650687989)	(7, 32.13168339737346)	(8, 34.120445491865105)	(9, 34.51598563326477)	(10, 34.64950799063411)	(11, 34.99276867016033)	(12, 35.154843827868746)	(13, 35.27238241510074)	(14, 35.31502705953033)	(15, 35.32752119200976)	(16, 35.354677924356814)	(17, 35.37580355354825)	(18, 35.3287386659305)	(19, 35.34014052665182)	(20, 35.32131958607909)	(21, 35.317230340785166)	(22, 35.242072312979005)	(23, 35.26956398240399)	(24, 35.30858228885523)	(25, 35.318104307241846)	(26, 35.25284225411163)	(27, 35.22132532451155)	(28, 35.21573045933331)	(29, 35.21764756421641)	(30, 35.16369783522693)	(31, 35.11123733060046)	(32, 35.087626076501714)	(33, 35.09461519977677)	(34, 35.000322374275896)	(35, 35.06045768630023)	(36, 35.07081092567729)	(37, 35.05772000686908)	(38, 35.07126968088034)	(39, 35.070601403690844)	(40, 35.05649768881705)	(41, 35.052428937924745)	(42, 35.05191977181693)	(43, 35.03452396402397)	(44, 35.02145098447121)	(45, 35.03380000594071)	(46, 34.99722819872096)	(47, 35.00576797633168)	(48, 34.98723347829174)	(49, 34.97092179772845)	(50, 34.97495445718102)	(51, 34.60591496111547)
