Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR10983637	(0.0, 6.0)	(1.0, 62.0)	(2.0, 118.0)	(3.0, 73.0)	(4.0, 28.0)	(5.0, 31.0)	(6.0, 34.0)	(7.0, 49.5)	(8.0, 65.0)	(9.0, 216.0)	(10.0, 367.0)	(11.0, 341.0)	(12.0, 315.0)	(13.0, 652.5)	(14.0, 990.0)	(15.0, 1805.5)	(16.0, 2621.0)	(17.0, 3456.5)	(18.0, 4292.0)	(19.0, 5818.0)	(20.0, 7344.0)	(21.0, 8621.0)	(22.0, 9898.0)	(23.0, 14171.5)	(24.0, 18445.0)	(25.0, 24344.5)	(26.0, 35662.5)	(27.0, 41081.0)	(28.0, 47238.5)	(29.0, 53396.0)	(30.0, 68614.5)	(31.0, 83833.0)	(32.0, 92722.0)	(33.0, 101611.0)	(34.0, 114025.0)	(35.0, 126439.0)	(36.0, 150668.0)	(37.0, 174897.0)	(38.0, 223877.5)	(39.0, 272858.0)	(40.0, 328075.0)	(41.0, 383292.0)	(42.0, 461659.0)	(43.0, 540026.0)	(44.0, 696997.0)	(45.0, 853968.0)	(46.0, 994110.5)	(47.0, 1134253.0)	(48.0, 1532350.5)	(49.0, 1930448.0)	(50.0, 2380600.5)	(51.0, 2830753.0)	(52.0, 2910459.5)	(53.0, 2990166.0)	(54.0, 2878578.5)	(55.0, 2766991.0)	(56.0, 2395778.5)	(57.0, 2024566.0)	(58.0, 1698570.0)	(59.0, 1372574.0)	(60.0, 1089729.5)	(61.0, 806885.0)	(62.0, 628071.0)	(63.0, 449257.0)	(64.0, 368072.5)	(65.0, 286888.0)	(66.0, 241699.0)	(67.0, 196510.0)	(68.0, 146145.5)	(69.0, 95781.0)	(70.0, 73885.5)	(71.0, 51990.0)	(72.0, 42119.0)	(73.0, 32248.0)	(74.0, 24983.0)	(75.0, 14265.0)	(76.0, 10812.0)	(77.0, 7884.5)	(78.0, 4957.0)	(79.0, 4467.0)	(80.0, 3977.0)	(81.0, 2985.5)	(82.0, 1994.0)	(83.0, 1326.5)	(84.0, 659.0)	(85.0, 423.0)	(86.0, 187.0)	(87.0, 140.0)	(88.0, 93.0)	(89.0, 82.0)	(90.0, 71.0)	(91.0, 65.5)	(92.0, 60.0)	(93.0, 42.0)	(94.0, 24.0)	(95.0, 19.0)	(96.0, 14.0)	(97.0, 8.5)	(98.0, 3.0)	(99.0, 3.5)	(100.0, 4.0)
SRR10983638	(0.0, 21.0)	(1.0, 2142.5)	(2.0, 4264.0)	(3.0, 2744.5)	(4.0, 1225.0)	(5.0, 963.5)	(6.0, 702.0)	(7.0, 901.0)	(8.0, 1100.0)	(9.0, 1997.0)	(10.0, 2894.0)	(11.0, 4497.5)	(12.0, 6101.0)	(13.0, 7735.0)	(14.0, 9369.0)	(15.0, 14436.0)	(16.0, 19503.0)	(17.0, 28857.5)	(18.0, 38212.0)	(19.0, 53912.5)	(20.0, 69613.0)	(21.0, 97913.0)	(22.0, 126213.0)	(23.0, 163823.5)	(24.0, 201434.0)	(25.0, 254249.5)	(26.0, 375201.0)	(27.0, 443337.0)	(28.0, 526800.5)	(29.0, 610264.0)	(30.0, 698581.5)	(31.0, 786899.0)	(32.0, 875005.5)	(33.0, 963112.0)	(34.0, 1042188.0)	(35.0, 1121264.0)	(36.0, 1196482.5)	(37.0, 1271701.0)	(38.0, 1310820.5)	(39.0, 1349940.0)	(40.0, 1362225.5)	(41.0, 1374511.0)	(42.0, 1381908.0)	(43.0, 1389305.0)	(44.0, 1380496.0)	(45.0, 1371687.0)	(46.0, 1338227.5)	(47.0, 1304768.0)	(48.0, 1286665.5)	(49.0, 1268563.0)	(50.0, 1252508.0)	(51.0, 1236453.0)	(52.0, 1204644.0)	(53.0, 1172835.0)	(54.0, 1133195.0)	(55.0, 1093555.0)	(56.0, 1018108.5)	(57.0, 942662.0)	(58.0, 856371.0)	(59.0, 770080.0)	(60.0, 679461.0)	(61.0, 588842.0)	(62.0, 497794.0)	(63.0, 406746.0)	(64.0, 341333.0)	(65.0, 275920.0)	(66.0, 238269.0)	(67.0, 200618.0)	(68.0, 165154.5)	(69.0, 129691.0)	(70.0, 108193.0)	(71.0, 86695.0)	(72.0, 76915.0)	(73.0, 67135.0)	(74.0, 55924.0)	(75.0, 38883.5)	(76.0, 33054.0)	(77.0, 28824.0)	(78.0, 24594.0)	(79.0, 22337.0)	(80.0, 20080.0)	(81.0, 16304.0)	(82.0, 12528.0)	(83.0, 9314.5)	(84.0, 6101.0)	(85.0, 4970.0)	(86.0, 3839.0)	(87.0, 2494.5)	(88.0, 1150.0)	(89.0, 863.0)	(90.0, 576.0)	(91.0, 478.5)	(92.0, 381.0)	(93.0, 213.0)	(94.0, 45.0)	(95.0, 27.5)	(96.0, 10.0)	(97.0, 6.5)	(98.0, 3.0)	(99.0, 2.0)	(100.0, 1.0)
SRR10983639	(0.0, 16.0)	(1.0, 2000.0)	(2.0, 3984.0)	(3.0, 2492.5)	(4.0, 1001.0)	(5.0, 718.0)	(6.0, 435.0)	(7.0, 553.5)	(8.0, 672.0)	(9.0, 1713.0)	(10.0, 2754.0)	(11.0, 3876.0)	(12.0, 4998.0)	(13.0, 6887.5)	(14.0, 8777.0)	(15.0, 12475.0)	(16.0, 16173.0)	(17.0, 25035.0)	(18.0, 33897.0)	(19.0, 49248.5)	(20.0, 64600.0)	(21.0, 87986.0)	(22.0, 111372.0)	(23.0, 149289.0)	(24.0, 187206.0)	(25.0, 234771.0)	(26.0, 352027.5)	(27.0, 421719.0)	(28.0, 502046.0)	(29.0, 582373.0)	(30.0, 664490.0)	(31.0, 746607.0)	(32.0, 830515.5)	(33.0, 914424.0)	(34.0, 997277.5)	(35.0, 1080131.0)	(36.0, 1153186.0)	(37.0, 1226241.0)	(38.0, 1261313.5)	(39.0, 1296386.0)	(40.0, 1313165.5)	(41.0, 1329945.0)	(42.0, 1343220.5)	(43.0, 1356496.0)	(44.0, 1347938.0)	(45.0, 1339380.0)	(46.0, 1301629.5)	(47.0, 1263879.0)	(48.0, 1257126.5)	(49.0, 1250374.0)	(50.0, 1268531.0)	(51.0, 1286688.0)	(52.0, 1229473.0)	(53.0, 1172258.0)	(54.0, 1140965.0)	(55.0, 1109672.0)	(56.0, 1017777.0)	(57.0, 925882.0)	(58.0, 840610.0)	(59.0, 755338.0)	(60.0, 651921.0)	(61.0, 548504.0)	(62.0, 461867.0)	(63.0, 375230.0)	(64.0, 316752.5)	(65.0, 258275.0)	(66.0, 220105.5)	(67.0, 181936.0)	(68.0, 147818.0)	(69.0, 113700.0)	(70.0, 91566.0)	(71.0, 69432.0)	(72.0, 58806.0)	(73.0, 48180.0)	(74.0, 39323.0)	(75.0, 24935.0)	(76.0, 19404.0)	(77.0, 16769.5)	(78.0, 14135.0)	(79.0, 12765.0)	(80.0, 11395.0)	(81.0, 9147.0)	(82.0, 6899.0)	(83.0, 4844.5)	(84.0, 2790.0)	(85.0, 2017.5)	(86.0, 1245.0)	(87.0, 946.5)	(88.0, 648.0)	(89.0, 473.0)	(90.0, 298.0)	(91.0, 222.0)	(92.0, 146.0)	(93.0, 86.5)	(94.0, 27.0)	(95.0, 20.0)	(96.0, 13.0)	(97.0, 7.5)	(98.0, 2.0)	(99.0, 2.0)	(100.0, 2.0)
SRR10983640	(0.0, 13.0)	(1.0, 1048.0)	(2.0, 2083.0)	(3.0, 1352.5)	(4.0, 622.0)	(5.0, 540.0)	(6.0, 458.0)	(7.0, 566.0)	(8.0, 674.0)	(9.0, 1350.0)	(10.0, 2026.0)	(11.0, 3196.0)	(12.0, 4366.0)	(13.0, 6046.0)	(14.0, 7726.0)	(15.0, 11900.0)	(16.0, 16074.0)	(17.0, 23248.0)	(18.0, 30422.0)	(19.0, 43440.0)	(20.0, 56458.0)	(21.0, 77838.0)	(22.0, 99218.0)	(23.0, 130953.0)	(24.0, 162688.0)	(25.0, 206210.5)	(26.0, 303842.5)	(27.0, 357952.0)	(28.0, 415556.5)	(29.0, 473161.0)	(30.0, 545186.0)	(31.0, 617211.0)	(32.0, 682471.5)	(33.0, 747732.0)	(34.0, 818815.5)	(35.0, 889899.0)	(36.0, 944996.0)	(37.0, 1000093.0)	(38.0, 1026531.0)	(39.0, 1052969.0)	(40.0, 1066363.5)	(41.0, 1079758.0)	(42.0, 1086891.5)	(43.0, 1094025.0)	(44.0, 1075328.0)	(45.0, 1056631.0)	(46.0, 1022338.0)	(47.0, 988045.0)	(48.0, 964654.5)	(49.0, 941264.0)	(50.0, 934529.0)	(51.0, 927794.0)	(52.0, 884863.5)	(53.0, 841933.0)	(54.0, 814232.5)	(55.0, 786532.0)	(56.0, 732417.5)	(57.0, 678303.0)	(58.0, 615708.0)	(59.0, 553113.0)	(60.0, 481069.0)	(61.0, 409025.0)	(62.0, 347030.5)	(63.0, 285036.0)	(64.0, 238612.0)	(65.0, 192188.0)	(66.0, 159310.5)	(67.0, 126433.0)	(68.0, 103948.5)	(69.0, 81464.0)	(70.0, 64907.0)	(71.0, 48350.0)	(72.0, 41214.0)	(73.0, 34078.0)	(74.0, 27165.5)	(75.0, 16853.0)	(76.0, 13453.0)	(77.0, 11253.5)	(78.0, 9054.0)	(79.0, 7708.5)	(80.0, 6363.0)	(81.0, 5429.0)	(82.0, 4495.0)	(83.0, 2969.0)	(84.0, 1443.0)	(85.0, 1040.0)	(86.0, 637.0)	(87.0, 410.0)	(88.0, 183.0)	(89.0, 123.5)	(90.0, 64.0)	(91.0, 44.5)	(92.0, 25.0)	(93.0, 14.5)	(94.0, 4.0)	(95.0, 3.5)	(96.0, 3.0)	(97.0, 2.5)	(98.0, 2.0)	(99.0, 1.5)	(100.0, 1.0)
SRR10983641	(0.0, 1.0)	(1.0, 1.0)	(2.0, 1.0)	(3.0, 3.0)	(4.0, 5.0)	(5.0, 7.0)	(6.0, 9.0)	(7.0, 24.0)	(8.0, 39.0)	(9.0, 77.5)	(10.0, 116.0)	(11.0, 278.0)	(12.0, 440.0)	(13.0, 648.5)	(14.0, 857.0)	(15.0, 2275.0)	(16.0, 3693.0)	(17.0, 3277.5)	(18.0, 2862.0)	(19.0, 4372.0)	(20.0, 5882.0)	(21.0, 7507.5)	(22.0, 9133.0)	(23.0, 12989.5)	(24.0, 16846.0)	(25.0, 20413.0)	(26.0, 32214.0)	(27.0, 40448.0)	(28.0, 44284.0)	(29.0, 48120.0)	(30.0, 62829.5)	(31.0, 77539.0)	(32.0, 85527.0)	(33.0, 93515.0)	(34.0, 108586.0)	(35.0, 123657.0)	(36.0, 149938.5)	(37.0, 176220.0)	(38.0, 208368.0)	(39.0, 240516.0)	(40.0, 299878.0)	(41.0, 359240.0)	(42.0, 425908.5)	(43.0, 492577.0)	(44.0, 608124.0)	(45.0, 723671.0)	(46.0, 741535.0)	(47.0, 759399.0)	(48.0, 1021133.0)	(49.0, 1282867.0)	(50.0, 1669660.0)	(51.0, 2056453.0)	(52.0, 1865786.5)	(53.0, 1675120.0)	(54.0, 1549769.0)	(55.0, 1424418.0)	(56.0, 1240305.5)	(57.0, 1056193.0)	(58.0, 922796.0)	(59.0, 789399.0)	(60.0, 640996.0)	(61.0, 492593.0)	(62.0, 387969.5)	(63.0, 283346.0)	(64.0, 281705.0)	(65.0, 280064.0)	(66.0, 253205.5)	(67.0, 226347.0)	(68.0, 143259.5)	(69.0, 60172.0)	(70.0, 50501.0)	(71.0, 40830.0)	(72.0, 41142.0)	(73.0, 41454.0)	(74.0, 27029.5)	(75.0, 9953.0)	(76.0, 7301.0)	(77.0, 6376.5)	(78.0, 5452.0)	(79.0, 5109.0)	(80.0, 4766.0)	(81.0, 3612.0)	(82.0, 2458.0)	(83.0, 1794.0)	(84.0, 1130.0)	(85.0, 718.5)	(86.0, 307.0)	(87.0, 240.0)	(88.0, 173.0)	(89.0, 108.0)	(90.0, 43.0)	(91.0, 30.5)	(92.0, 18.0)	(93.0, 13.0)	(94.0, 8.0)	(95.0, 7.5)	(96.0, 7.0)	(97.0, 5.5)	(98.0, 4.0)	(99.0, 2.5)	(100.0, 1.0)
SRR10983642	(0.0, 2.0)	(1.0, 539.0)	(2.0, 1076.0)	(3.0, 730.5)	(4.0, 385.0)	(5.0, 369.5)	(6.0, 354.0)	(7.0, 472.0)	(8.0, 590.0)	(9.0, 1151.0)	(10.0, 1712.0)	(11.0, 2670.5)	(12.0, 3629.0)	(13.0, 5590.0)	(14.0, 7551.0)	(15.0, 11410.0)	(16.0, 15269.0)	(17.0, 21716.5)	(18.0, 28164.0)	(19.0, 37699.0)	(20.0, 47234.0)	(21.0, 64406.0)	(22.0, 81578.0)	(23.0, 111127.0)	(24.0, 140676.0)	(25.0, 179370.5)	(26.0, 268399.5)	(27.0, 318734.0)	(28.0, 376154.0)	(29.0, 433574.0)	(30.0, 514322.0)	(31.0, 595070.0)	(32.0, 677759.0)	(33.0, 760448.0)	(34.0, 847029.5)	(35.0, 933611.0)	(36.0, 1072401.0)	(37.0, 1211191.0)	(38.0, 1224569.5)	(39.0, 1237948.0)	(40.0, 1275921.0)	(41.0, 1313894.0)	(42.0, 1364491.0)	(43.0, 1415088.0)	(44.0, 1404797.0)	(45.0, 1394506.0)	(46.0, 1377855.0)	(47.0, 1361204.0)	(48.0, 1337184.5)	(49.0, 1313165.0)	(50.0, 1318499.5)	(51.0, 1323834.0)	(52.0, 1296330.0)	(53.0, 1268826.0)	(54.0, 1240243.0)	(55.0, 1211660.0)	(56.0, 1132197.5)	(57.0, 1052735.0)	(58.0, 973534.5)	(59.0, 894334.0)	(60.0, 811332.5)	(61.0, 728331.0)	(62.0, 638872.0)	(63.0, 549413.0)	(64.0, 460923.5)	(65.0, 372434.0)	(66.0, 325498.0)	(67.0, 278562.0)	(68.0, 230230.5)	(69.0, 181899.0)	(70.0, 151610.5)	(71.0, 121322.0)	(72.0, 107352.5)	(73.0, 93383.0)	(74.0, 74313.5)	(75.0, 40917.0)	(76.0, 26590.0)	(77.0, 23148.5)	(78.0, 19707.0)	(79.0, 18733.5)	(80.0, 17760.0)	(81.0, 14442.5)	(82.0, 11125.0)	(83.0, 7775.5)	(84.0, 4426.0)	(85.0, 3080.0)	(86.0, 1734.0)	(87.0, 1149.0)	(88.0, 564.0)	(89.0, 393.5)	(90.0, 223.0)	(91.0, 204.0)	(92.0, 185.0)	(93.0, 110.0)	(94.0, 35.0)	(95.0, 24.5)	(96.0, 14.0)	(97.0, 9.5)	(98.0, 5.0)	(99.0, 3.5)	(100.0, 2.0)
SRR10983643	(0.0, 1.0)	(1.0, 41.0)	(2.0, 81.0)	(3.0, 60.0)	(4.0, 39.0)	(5.0, 94.5)	(6.0, 150.0)	(7.0, 201.5)	(8.0, 253.0)	(9.0, 294.0)	(10.0, 335.0)	(11.0, 558.0)	(12.0, 781.0)	(13.0, 1146.0)	(14.0, 1511.0)	(15.0, 2108.0)	(16.0, 2705.0)	(17.0, 3803.5)	(18.0, 4902.0)	(19.0, 6613.5)	(20.0, 8325.0)	(21.0, 12262.5)	(22.0, 16200.0)	(23.0, 22300.0)	(24.0, 28400.0)	(25.0, 36127.5)	(26.0, 59021.0)	(27.0, 74187.0)	(28.0, 79514.0)	(29.0, 84841.0)	(30.0, 108084.5)	(31.0, 131328.0)	(32.0, 159275.5)	(33.0, 187223.0)	(34.0, 216831.0)	(35.0, 246439.0)	(36.0, 291326.5)	(37.0, 336214.0)	(38.0, 367866.5)	(39.0, 399519.0)	(40.0, 463807.0)	(41.0, 528095.0)	(42.0, 580941.5)	(43.0, 633788.0)	(44.0, 740438.0)	(45.0, 847088.0)	(46.0, 887031.5)	(47.0, 926975.0)	(48.0, 1060885.5)	(49.0, 1194796.0)	(50.0, 1299571.5)	(51.0, 1404347.0)	(52.0, 1398977.0)	(53.0, 1393607.0)	(54.0, 1394167.5)	(55.0, 1394728.0)	(56.0, 1230991.5)	(57.0, 1067255.0)	(58.0, 986111.5)	(59.0, 904968.0)	(60.0, 818514.0)	(61.0, 732060.0)	(62.0, 645780.0)	(63.0, 559500.0)	(64.0, 456912.0)	(65.0, 354324.0)	(66.0, 330571.0)	(67.0, 306818.0)	(68.0, 272386.5)	(69.0, 237955.0)	(70.0, 204691.5)	(71.0, 171428.0)	(72.0, 155639.5)	(73.0, 139851.0)	(74.0, 123577.5)	(75.0, 74830.0)	(76.0, 42356.0)	(77.0, 45141.5)	(78.0, 47927.0)	(79.0, 58120.0)	(80.0, 68313.0)	(81.0, 52840.5)	(82.0, 37368.0)	(83.0, 24103.5)	(84.0, 10839.0)	(85.0, 7491.0)	(86.0, 4143.0)	(87.0, 2614.5)	(88.0, 1086.0)	(89.0, 1043.5)	(90.0, 1001.0)	(91.0, 751.5)	(92.0, 502.0)	(93.0, 274.5)	(94.0, 47.0)	(95.0, 31.5)	(96.0, 16.0)	(97.0, 12.0)	(98.0, 8.0)	(99.0, 4.0)	(100.0, 0.0)
SRR10983644	(0.0, 8.0)	(1.0, 22.0)	(2.0, 36.0)	(3.0, 27.0)	(4.0, 18.0)	(5.0, 32.5)	(6.0, 47.0)	(7.0, 86.0)	(8.0, 125.0)	(9.0, 245.5)	(10.0, 366.0)	(11.0, 1270.5)	(12.0, 2175.0)	(13.0, 1753.5)	(14.0, 1332.0)	(15.0, 1927.0)	(16.0, 2522.0)	(17.0, 3172.0)	(18.0, 3822.0)	(19.0, 8431.5)	(20.0, 13041.0)	(21.0, 22733.5)	(22.0, 32426.0)	(23.0, 32583.5)	(24.0, 32741.0)	(25.0, 54857.5)	(26.0, 100266.5)	(27.0, 123559.0)	(28.0, 148723.5)	(29.0, 173888.0)	(30.0, 200734.5)	(31.0, 227581.0)	(32.0, 240877.5)	(33.0, 254174.0)	(34.0, 297488.0)	(35.0, 340802.0)	(36.0, 404827.0)	(37.0, 468852.0)	(38.0, 506292.0)	(39.0, 543732.0)	(40.0, 575358.5)	(41.0, 606985.0)	(42.0, 650390.0)	(43.0, 693795.0)	(44.0, 812894.5)	(45.0, 931994.0)	(46.0, 913221.5)	(47.0, 894449.0)	(48.0, 1096967.5)	(49.0, 1299486.0)	(50.0, 1773042.0)	(51.0, 2246598.0)	(52.0, 2119965.0)	(53.0, 1993332.0)	(54.0, 1917259.0)	(55.0, 1841186.0)	(56.0, 1585670.0)	(57.0, 1330154.0)	(58.0, 1127739.0)	(59.0, 925324.0)	(60.0, 773482.5)	(61.0, 621641.0)	(62.0, 499646.5)	(63.0, 377652.0)	(64.0, 327998.0)	(65.0, 278344.0)	(66.0, 230587.0)	(67.0, 182830.0)	(68.0, 142309.0)	(69.0, 101788.0)	(70.0, 79622.5)	(71.0, 57457.0)	(72.0, 45021.5)	(73.0, 32586.0)	(74.0, 26327.0)	(75.0, 14307.0)	(76.0, 8546.0)	(77.0, 7878.0)	(78.0, 7210.0)	(79.0, 7082.0)	(80.0, 6954.0)	(81.0, 4000.5)	(82.0, 1047.0)	(83.0, 730.5)	(84.0, 414.0)	(85.0, 301.5)	(86.0, 189.0)	(87.0, 159.5)	(88.0, 130.0)	(89.0, 85.5)	(90.0, 41.0)	(91.0, 30.0)	(92.0, 19.0)	(93.0, 12.0)	(94.0, 5.0)	(95.0, 6.0)	(96.0, 7.0)	(97.0, 5.5)	(98.0, 4.0)	(99.0, 3.0)	(100.0, 2.0)
SRR10983646	(0.0, 6.0)	(1.0, 696.0)	(2.0, 1386.0)	(3.0, 950.0)	(4.0, 514.0)	(5.0, 431.5)	(6.0, 349.0)	(7.0, 437.5)	(8.0, 526.0)	(9.0, 945.5)	(10.0, 1365.0)	(11.0, 2145.5)	(12.0, 2926.0)	(13.0, 4083.0)	(14.0, 5240.0)	(15.0, 7698.5)	(16.0, 10157.0)	(17.0, 14529.0)	(18.0, 18901.0)	(19.0, 27045.0)	(20.0, 35189.0)	(21.0, 48688.0)	(22.0, 62187.0)	(23.0, 81389.0)	(24.0, 100591.0)	(25.0, 128761.5)	(26.0, 192884.0)	(27.0, 228836.0)	(28.0, 271328.5)	(29.0, 313821.0)	(30.0, 362037.5)	(31.0, 410254.0)	(32.0, 465559.0)	(33.0, 520864.0)	(34.0, 584253.5)	(35.0, 647643.0)	(36.0, 724453.0)	(37.0, 801263.0)	(38.0, 820663.5)	(39.0, 840064.0)	(40.0, 856802.0)	(41.0, 873540.0)	(42.0, 899502.5)	(43.0, 925465.0)	(44.0, 904121.5)	(45.0, 882778.0)	(46.0, 873850.5)	(47.0, 864923.0)	(48.0, 840764.0)	(49.0, 816605.0)	(50.0, 803303.5)	(51.0, 790002.0)	(52.0, 764479.5)	(53.0, 738957.0)	(54.0, 720876.0)	(55.0, 702795.0)	(56.0, 664077.0)	(57.0, 625359.0)	(58.0, 586036.5)	(59.0, 546714.0)	(60.0, 496967.0)	(61.0, 447220.0)	(62.0, 388673.0)	(63.0, 330126.0)	(64.0, 283079.0)	(65.0, 236032.0)	(66.0, 204219.0)	(67.0, 172406.0)	(68.0, 141999.0)	(69.0, 111592.0)	(70.0, 91815.0)	(71.0, 72038.0)	(72.0, 64915.5)	(73.0, 57793.0)	(74.0, 43223.5)	(75.0, 23442.5)	(76.0, 18231.0)	(77.0, 15258.5)	(78.0, 12286.0)	(79.0, 10535.5)	(80.0, 8785.0)	(81.0, 6869.0)	(82.0, 4953.0)	(83.0, 3391.0)	(84.0, 1829.0)	(85.0, 1347.5)	(86.0, 866.0)	(87.0, 558.0)	(88.0, 250.0)	(89.0, 158.0)	(90.0, 66.0)	(91.0, 54.5)	(92.0, 43.0)	(93.0, 31.5)	(94.0, 20.0)	(95.0, 12.0)	(96.0, 4.0)	(97.0, 2.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR10983647	(0.0, 3.0)	(1.0, 648.5)	(2.0, 1294.0)	(3.0, 969.5)	(4.0, 645.0)	(5.0, 696.0)	(6.0, 747.0)	(7.0, 1044.5)	(8.0, 1342.0)	(9.0, 2214.0)	(10.0, 3086.0)	(11.0, 4335.5)	(12.0, 5585.0)	(13.0, 7434.0)	(14.0, 9283.0)	(15.0, 12531.0)	(16.0, 15779.0)	(17.0, 22191.0)	(18.0, 28603.0)	(19.0, 39428.5)	(20.0, 50254.0)	(21.0, 68905.5)	(22.0, 87557.0)	(23.0, 115044.5)	(24.0, 142532.0)	(25.0, 181702.0)	(26.0, 272591.5)	(27.0, 324311.0)	(28.0, 384991.5)	(29.0, 445672.0)	(30.0, 518154.5)	(31.0, 590637.0)	(32.0, 679439.5)	(33.0, 768242.0)	(34.0, 862116.5)	(35.0, 955991.0)	(36.0, 1080187.5)	(37.0, 1204384.0)	(38.0, 1232956.5)	(39.0, 1261529.0)	(40.0, 1281591.5)	(41.0, 1301654.0)	(42.0, 1342009.5)	(43.0, 1382365.0)	(44.0, 1334982.0)	(45.0, 1287599.0)	(46.0, 1264697.5)	(47.0, 1241796.0)	(48.0, 1179424.0)	(49.0, 1117052.0)	(50.0, 1081026.0)	(51.0, 1045000.0)	(52.0, 993912.5)	(53.0, 942825.0)	(54.0, 911903.5)	(55.0, 880982.0)	(56.0, 844074.0)	(57.0, 807166.0)	(58.0, 761529.0)	(59.0, 715892.0)	(60.0, 643878.0)	(61.0, 571864.0)	(62.0, 503131.0)	(63.0, 434398.0)	(64.0, 371869.5)	(65.0, 309341.0)	(66.0, 270873.0)	(67.0, 232405.0)	(68.0, 186321.5)	(69.0, 140238.0)	(70.0, 113015.0)	(71.0, 85792.0)	(72.0, 80591.0)	(73.0, 75390.0)	(74.0, 55341.5)	(75.0, 28759.5)	(76.0, 22226.0)	(77.0, 18830.5)	(78.0, 15435.0)	(79.0, 13454.0)	(80.0, 11473.0)	(81.0, 9069.5)	(82.0, 6666.0)	(83.0, 4660.0)	(84.0, 2654.0)	(85.0, 1973.5)	(86.0, 1293.0)	(87.0, 799.5)	(88.0, 306.0)	(89.0, 193.0)	(90.0, 80.0)	(91.0, 63.0)	(92.0, 46.0)	(93.0, 37.0)	(94.0, 28.0)	(95.0, 19.0)	(96.0, 10.0)	(97.0, 5.5)	(98.0, 1.0)	(99.0, 0.5)	(100.0, 0.0)
