Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR10983637	(14.0, 6508.0)	(15.0, 35169.0)	(16.0, 43942.0)	(17.0, 34348.0)	(18.0, 29588.0)	(19.0, 28733.0)	(20.0, 32228.0)	(21.0, 40092.0)	(22.0, 54191.0)	(23.0, 76401.0)	(24.0, 108350.0)	(25.0, 148590.0)	(26.0, 200148.0)	(27.0, 256277.0)	(28.0, 325270.0)	(29.0, 399136.0)	(30.0, 477635.0)	(31.0, 584150.0)	(32.0, 748822.0)	(33.0, 1077089.0)	(34.0, 2153317.0)	(35.0, 4684381.0)	(36.0, 8171686.0)	
SRR10983638	(14.0, 1385.0)	(15.0, 9618.0)	(16.0, 16278.0)	(17.0, 16299.0)	(18.0, 16498.0)	(19.0, 17925.0)	(20.0, 23056.0)	(21.0, 30901.0)	(22.0, 45381.0)	(23.0, 69117.0)	(24.0, 102535.0)	(25.0, 148142.0)	(26.0, 201092.0)	(27.0, 264624.0)	(28.0, 334457.0)	(29.0, 411036.0)	(30.0, 502253.0)	(31.0, 616545.0)	(32.0, 787073.0)	(33.0, 1110010.0)	(34.0, 2096584.0)	(35.0, 4621309.0)	(36.0, 9719256.0)	
SRR10983639	(14.0, 1371.0)	(15.0, 9250.0)	(16.0, 15795.0)	(17.0, 15993.0)	(18.0, 16380.0)	(19.0, 18428.0)	(20.0, 21929.0)	(21.0, 29009.0)	(22.0, 41879.0)	(23.0, 63175.0)	(24.0, 95041.0)	(25.0, 137815.0)	(26.0, 189211.0)	(27.0, 249223.0)	(28.0, 315863.0)	(29.0, 393100.0)	(30.0, 481283.0)	(31.0, 593703.0)	(32.0, 762394.0)	(33.0, 1077961.0)	(34.0, 2038925.0)	(35.0, 4502239.0)	(36.0, 9388774.0)	
SRR10983640	(14.0, 1050.0)	(15.0, 7596.0)	(16.0, 13251.0)	(17.0, 13454.0)	(18.0, 13769.0)	(19.0, 15255.0)	(20.0, 17637.0)	(21.0, 22937.0)	(22.0, 32022.0)	(23.0, 48198.0)	(24.0, 71792.0)	(25.0, 103816.0)	(26.0, 143036.0)	(27.0, 189364.0)	(28.0, 243093.0)	(29.0, 302335.0)	(30.0, 369679.0)	(31.0, 458912.0)	(32.0, 588965.0)	(33.0, 831638.0)	(34.0, 1570154.0)	(35.0, 3488431.0)	(36.0, 7405146.0)	
SRR10983641	(14.0, 1797.0)	(15.0, 11136.0)	(16.0, 16579.0)	(17.0, 15592.0)	(18.0, 15187.0)	(19.0, 16246.0)	(20.0, 17851.0)	(21.0, 22106.0)	(22.0, 30081.0)	(23.0, 43102.0)	(24.0, 62410.0)	(25.0, 88276.0)	(26.0, 119866.0)	(27.0, 156306.0)	(28.0, 198283.0)	(29.0, 245092.0)	(30.0, 300021.0)	(31.0, 369075.0)	(32.0, 474166.0)	(33.0, 672709.0)	(34.0, 1283012.0)	(35.0, 2882025.0)	(36.0, 5901377.0)	
SRR10983642	(14.0, 2175.0)	(15.0, 14707.0)	(16.0, 25225.0)	(17.0, 26967.0)	(18.0, 26607.0)	(19.0, 27393.0)	(20.0, 30348.0)	(21.0, 37951.0)	(22.0, 52525.0)	(23.0, 77290.0)	(24.0, 113707.0)	(25.0, 161780.0)	(26.0, 219018.0)	(27.0, 284618.0)	(28.0, 356734.0)	(29.0, 435321.0)	(30.0, 529387.0)	(31.0, 652612.0)	(32.0, 839048.0)	(33.0, 1206582.0)	(34.0, 2414706.0)	(35.0, 4893451.0)	(36.0, 8620913.0)	
SRR10983643	(13.0, 1.0)	(14.0, 1845.0)	(15.0, 11223.0)	(16.0, 17594.0)	(17.0, 17523.0)	(18.0, 17487.0)	(19.0, 18164.0)	(20.0, 20608.0)	(21.0, 25913.0)	(22.0, 36647.0)	(23.0, 54337.0)	(24.0, 80181.0)	(25.0, 113964.0)	(26.0, 153088.0)	(27.0, 198659.0)	(28.0, 248786.0)	(29.0, 303047.0)	(30.0, 366770.0)	(31.0, 453096.0)	(32.0, 581345.0)	(33.0, 846243.0)	(34.0, 1722726.0)	(35.0, 3448497.0)	(36.0, 5948038.0)
SRR10983644	(14.0, 1488.0)	(15.0, 9204.0)	(16.0, 14165.0)	(17.0, 15098.0)	(18.0, 16782.0)	(19.0, 19260.0)	(20.0, 23406.0)	(21.0, 32186.0)	(22.0, 45489.0)	(23.0, 68099.0)	(24.0, 100017.0)	(25.0, 140808.0)	(26.0, 190767.0)	(27.0, 244710.0)	(28.0, 307143.0)	(29.0, 374739.0)	(30.0, 456176.0)	(31.0, 562866.0)	(32.0, 725196.0)	(33.0, 1037428.0)	(34.0, 2039229.0)	(35.0, 4225092.0)	(36.0, 6109110.0)	
SRR10983646	(14.0, 1002.0)	(15.0, 6142.0)	(16.0, 10660.0)	(17.0, 12095.0)	(18.0, 13340.0)	(19.0, 14625.0)	(20.0, 16946.0)	(21.0, 21717.0)	(22.0, 31548.0)	(23.0, 47890.0)	(24.0, 72502.0)	(25.0, 105018.0)	(26.0, 144703.0)	(27.0, 188515.0)	(28.0, 236521.0)	(29.0, 291962.0)	(30.0, 354857.0)	(31.0, 434873.0)	(32.0, 554153.0)	(33.0, 787855.0)	(34.0, 1523061.0)	(35.0, 3263280.0)	(36.0, 5296081.0)	
SRR10983647	(14.0, 1434.0)	(15.0, 9299.0)	(16.0, 15399.0)	(17.0, 16913.0)	(18.0, 18427.0)	(19.0, 20199.0)	(20.0, 23722.0)	(21.0, 30793.0)	(22.0, 45070.0)	(23.0, 68946.0)	(24.0, 103748.0)	(25.0, 149808.0)	(26.0, 205367.0)	(27.0, 268112.0)	(28.0, 337604.0)	(29.0, 414397.0)	(30.0, 501670.0)	(31.0, 615804.0)	(32.0, 785139.0)	(33.0, 1113677.0)	(34.0, 2145719.0)	(35.0, 4561974.0)	(36.0, 7332397.0)	
SRR10983648	(14.0, 1127.0)	(15.0, 7004.0)	(16.0, 11730.0)	(17.0, 13139.0)	(18.0, 14504.0)	(19.0, 16905.0)	(20.0, 20334.0)	(21.0, 27594.0)	(22.0, 40677.0)	(23.0, 62064.0)	(24.0, 94306.0)	(25.0, 135530.0)	(26.0, 184619.0)	(27.0, 241326.0)	(28.0, 302046.0)	(29.0, 368419.0)	(30.0, 447621.0)	(31.0, 548852.0)	(32.0, 696177.0)	(33.0, 992182.0)	(34.0, 1923001.0)	(35.0, 4120102.0)	(36.0, 6676373.0)	
SRR10983649	(14.0, 1001.0)	(15.0, 6653.0)	(16.0, 10482.0)	(17.0, 11441.0)	(18.0, 12617.0)	(19.0, 14688.0)	(20.0, 17848.0)	(21.0, 24354.0)	(22.0, 35746.0)	(23.0, 54254.0)	(24.0, 82011.0)	(25.0, 118013.0)	(26.0, 159525.0)	(27.0, 206872.0)	(28.0, 260378.0)	(29.0, 318570.0)	(30.0, 387033.0)	(31.0, 474847.0)	(32.0, 604324.0)	(33.0, 857884.0)	(34.0, 1661166.0)	(35.0, 3544676.0)	(36.0, 5680053.0)	
SRR10983650	(14.0, 193.0)	(15.0, 1272.0)	(16.0, 1781.0)	(17.0, 1521.0)	(18.0, 1432.0)	(19.0, 1399.0)	(20.0, 1581.0)	(21.0, 1980.0)	(22.0, 2641.0)	(23.0, 3549.0)	(24.0, 5087.0)	(25.0, 7216.0)	(26.0, 9551.0)	(27.0, 12772.0)	(28.0, 15748.0)	(29.0, 20479.0)	(30.0, 25946.0)	(31.0, 33343.0)	(32.0, 46934.0)	(33.0, 76275.0)	(34.0, 186947.0)	(35.0, 386100.0)	(36.0, 310129.0)	
SRR10983651	(14.0, 938.0)	(15.0, 6412.0)	(16.0, 10795.0)	(17.0, 11939.0)	(18.0, 13423.0)	(19.0, 14407.0)	(20.0, 16728.0)	(21.0, 22332.0)	(22.0, 32690.0)	(23.0, 50495.0)	(24.0, 76460.0)	(25.0, 111441.0)	(26.0, 153721.0)	(27.0, 202351.0)	(28.0, 255603.0)	(29.0, 314930.0)	(30.0, 384116.0)	(31.0, 473241.0)	(32.0, 603084.0)	(33.0, 856616.0)	(34.0, 1650940.0)	(35.0, 3564519.0)	(36.0, 5764076.0)	
SRR10983652	(14.0, 1825.0)	(15.0, 11201.0)	(16.0, 15566.0)	(17.0, 14925.0)	(18.0, 15054.0)	(19.0, 17273.0)	(20.0, 20906.0)	(21.0, 28174.0)	(22.0, 41152.0)	(23.0, 61590.0)	(24.0, 91089.0)	(25.0, 128071.0)	(26.0, 172253.0)	(27.0, 223038.0)	(28.0, 278336.0)	(29.0, 339123.0)	(30.0, 408298.0)	(31.0, 502331.0)	(32.0, 642589.0)	(33.0, 928213.0)	(34.0, 1869868.0)	(35.0, 3850032.0)	(36.0, 5416358.0)	
