Sample	Unique Reads	Duplicate Reads
SRR10983637	2657807.0	17058244.0
SRR10983638	4853376.0	16307998.0
SRR10983639	4142930.0	16315811.0
SRR10983640	3737822.0	12213708.0
SRR10983641	1581336.0	11360959.0
SRR10983642	4610805.0	16438260.0
SRR10983643	2996792.0	11688990.0
SRR10983644	2768113.0	13990345.0
SRR10983646	7082917.0	6346429.0
SRR10983647	14276517.0	4509101.0
SRR10983648	10538372.0	6407260.0
SRR10983649	10654741.0	3889695.0
SRR10983650	559367.0	594509.0
SRR10983651	8755353.0	5835904.0
SRR10983652	3017830.0	12059435.0
SRR10983653	2035516.0	15442003.0
SRR10983654	2404329.0	15433015.0
SRR10983655	1782885.0	13476668.0
SRR10983656	251304.0	518434.0
SRR10983657	2522487.0	7216754.0
SRR10983658	3277965.0	6896586.0
SRR10983659	5050803.0	8997847.0
SRR10983660	4716872.0	8429399.0
SRR10983661	3266723.0	11908234.0
SRR10983662	7505223.0	5188444.0
SRR10983663	4839062.0	7568228.0
