Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR10983637	(1.0, 9.928662127208227)	(2.0, 2.5785931312877013)	(3.0, 1.7919344154902281)	(4.0, 1.440315462475644)	(5.0, 1.1487658400820722)	(6.0, 0.9000608191661317)	(7.0, 0.7826566912291792)	(8.0, 0.6255804736638079)	(9.0, 0.5789889337940849)	('>10', 9.502960126796458)	('>50', 5.4508447515793454)	('>100', 25.677237632160978)	('>500', 10.949449392551731)	('>1k', 12.679855810877502)	('>5k', 4.2902340165548125)	('>10k+', 11.673860375082112)
SRR10983638	(1.0, 17.38079289402158)	(2.0, 4.424423499026655)	(3.0, 2.3583923690993416)	(4.0, 1.4924703376307902)	(5.0, 1.1257953500431064)	(6.0, 0.8810148556329831)	(7.0, 0.7715134292457261)	(8.0, 0.671113513019009)	(9.0, 0.5772352053366758)	('>10', 27.64179007157098)	('>50', 33.57802973132019)	('>100', 5.489707590563021)	('>500', 1.0638813693001143)	('>1k', 1.791520850634022)	('>5k', 0.5551424694436958)	('>10k+', 0.19717646411196807)
SRR10983639	(1.0, 15.240517267339666)	(2.0, 4.143278289722599)	(3.0, 2.2800787928499417)	(4.0, 1.5538707382359094)	(5.0, 1.1937393249950643)	(6.0, 0.9342011368418165)	(7.0, 0.763222602746804)	(8.0, 0.6302867856437119)	(9.0, 0.5586644268933982)	('>10', 13.383721843219504)	('>50', 29.663468528419646)	('>100', 24.77876023656519)	('>500', 1.34954468594562)	('>1k', 2.223433896067129)	('>5k', 0.8169773140181982)	('>10k+', 0.4862341304958621)
SRR10983640	(1.0, 17.751634753748718)	(2.0, 4.294566067634794)	(3.0, 2.1889760829769753)	(4.0, 1.4241919146241873)	(5.0, 1.016069814786802)	(6.0, 0.8662334184636855)	(7.0, 0.695757493058222)	(8.0, 0.6271878086351327)	(9.0, 0.5777380536438661)	('>10', 43.95762457375152)	('>50', 20.054800163968363)	('>100', 3.8548910235863545)	('>500', 0.6902633080979167)	('>1k', 1.3287163587007431)	('>5k', 0.40398788601406094)	('>10k+', 0.2673612783086246)
SRR10983641	(1.0, 8.921146981375148)	(2.0, 2.557144459016289)	(3.0, 1.67375074592678)	(4.0, 1.2033653602202874)	(5.0, 0.9978663899278628)	(6.0, 0.8414430371025332)	(7.0, 0.6836277191334301)	(8.0, 0.6302867655367314)	(9.0, 0.5808591272600161)	('>10', 7.851796232793673)	('>50', 3.0019937473989557)	('>100', 26.577642624335557)	('>500', 6.4350576841143505)	('>1k', 13.028111004817585)	('>5k', 4.976716380599855)	('>10k+', 20.03919174044094)
SRR10983642	(1.0, 16.535449816514443)	(2.0, 4.354442638645807)	(3.0, 2.414193339397951)	(4.0, 1.6416057313215815)	(5.0, 1.1477130888685936)	(6.0, 0.8551691698962123)	(7.0, 0.6974875734358115)	(8.0, 0.6344403513212513)	(9.0, 0.5625230420735307)	('>10', 21.71109023543755)	('>50', 35.48014288640931)	('>100', 7.7716517144542685)	('>500', 1.6277024035102758)	('>1k', 2.8694748358333957)	('>5k', 0.635660072757502)	('>10k+', 1.0612531001225616)
SRR10983643	(1.0, 15.771653396234688)	(2.0, 3.9188479759946064)	(3.0, 2.4412454231780285)	(4.0, 1.7522133297839235)	(5.0, 1.327140442405875)	(6.0, 1.075394776766793)	(7.0, 0.9235467922401899)	(8.0, 0.8328517296712058)	(9.0, 0.6694561092882096)	('>10', 8.703198650868606)	('>50', 3.8744876943713606)	('>100', 30.382865991322205)	('>500', 6.23210952891416)	('>1k', 12.292432949290449)	('>5k', 3.899500106226645)	('>10k+', 5.903055103443008)
SRR10983644	(1.0, 12.393899900783909)	(2.0, 3.226817179947032)	(3.0, 2.0562095401577993)	(4.0, 1.6049341073246102)	(5.0, 1.241356974009513)	(6.0, 1.118533406303778)	(7.0, 0.9592990724577288)	(8.0, 0.8730577402839345)	(9.0, 0.757970929208392)	('>10', 10.245040276509917)	('>50', 3.7298228878481665)	('>100', 7.5195083195694306)	('>500', 9.708741460487822)	('>1k', 27.024413608624183)	('>5k', 3.405393946936993)	('>10k+', 14.135000649546745)
SRR10983646	(1.0, 44.714855039065284)	(2.0, 6.965467731825031)	(3.0, 2.7954619631129276)	(4.0, 1.907532555158935)	(5.0, 1.6388513728677248)	(6.0, 1.596935225660402)	(7.0, 1.6795948093281605)	(8.0, 1.8193741677069986)	(9.0, 2.0900125461851657)	('>10', 27.699109582600418)	('>50', 1.2769477368946782)	('>100', 2.040819113552259)	('>500', 0.9158724712847124)	('>1k', 1.5692261637626759)	('>5k', 0.3995279330496192)	('>10k+', 0.8904115879449753)
SRR10983647	(1.0, 66.96804118648126)	(2.0, 12.130487117548594)	(3.0, 5.232152078633065)	(4.0, 2.2265780834502675)	(5.0, 1.0978647330207547)	(6.0, 0.7256987968471554)	(7.0, 0.5046328859613597)	(8.0, 0.3418502444844395)	(9.0, 0.28021971580064736)	('>10', 2.7418550297916586)	('>50', 0.8374054227428993)	('>100', 1.9156207026239742)	('>500', 0.9100046940684311)	('>1k', 1.7384037172870181)	('>5k', 0.7775380584948657)	('>10k+', 1.5716475327634938)
