Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR10983637	86.5195820804268	52.0	51.0	51	30.0	19.716051
SRR10983638	77.06493333368199	45.0	51.0	51	20.0	21.161374
SRR10983639	79.74983007905138	45.0	51.0	51	20.0	20.458741
SRR10983640	76.56762722726063	44.0	51.0	51	20.0	15.95153
SRR10983641	87.78164364052697	51.0	51.0	51	30.0	12.942295
SRR10983642	78.09496947465067	46.0	51.0	51	20.0	21.049065
SRR10983643	79.5939268269733	52.0	51.0	51	20.0	14.685782
SRR10983644	83.48229601207875	50.0	51.0	51	30.0	16.758458
SRR10983646	47.25791751535466	46.0	51.0	51	10.0	13.429345999999999
SRR10983647	24.002944139817203	45.0	51.0	51	10.0	18.785618
SRR10983648	37.81068949744877	45.0	51.0	51	10.0	16.945632
SRR10983649	26.743526447878878	45.0	51.0	51	10.0	14.544436
SRR10983650	51.522808848292016	54.0	51.0	51	30.0	1.153876
SRR10983651	39.99590241958254	45.0	51.0	51	10.0	14.591256999999999
SRR10983652	79.98423977708731	52.0	51.0	51	20.0	15.077264999999999
SRR10983653	88.35352008152225	53.0	51.0	51	40.0	17.477519
SRR10983654	86.52081577038764	52.0	51.0	51	20.0	17.837343999999998
SRR10983655	88.31627491001612	52.0	51.0	51	40.0	15.259552999999999
SRR10983656	67.35204930258982	50.0	51.0	51	20.0	0.7697379999999999
SRR10983657	74.09975978153953	49.0	51.0	51	20.0	9.739241
SRR10983658	67.78270904761223	47.0	51.0	51	20.0	10.174551
SRR10983659	64.04777530350451	46.0	51.0	51	20.0	14.048649999999999
SRR10983660	64.12008374557479	46.0	51.0	51	20.0	13.146270999999999
SRR10983661	78.47293893743881	48.0	51.0	51	20.0	15.174957
SRR10983662	40.87427588946956	45.0	51.0	51	10.0	12.693667
SRR10983663	60.998243490958075	45.0	51.0	51	20.0	12.40729
