Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
SRR10983637	20283193	0	985246	0	0	0	0	0	2230408	0	11.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	20283193
SRR10983638	29534658	0	8642162	0	0	0	0	0	24401273	0	82.62	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	29534658
SRR10983639	27837203	0	7633021	0	0	0	0	0	22648416	0	81.36	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	27837203
SRR10983640	19865809	0	4114752	0	0	0	0	0	16540474	0	83.26	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	19865809
SRR10983641	13365240	0	622611	0	0	0	0	0	1069971	0	8.01	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	13365240
SRR10983642	33167192	0	12458473	0	0	0	0	0	28201807	0	85.03	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	33167192
SRR10983643	43364810	0	28909616	0	0	0	0	0	36611678	0	84.43	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	43364810
SRR10983644	17701219	0	1219472	0	0	0	0	0	5244318	0	29.63	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	17701219
SRR10983645	1910509	0	20425	0	0	0	0	0	52746	0	2.76	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1910509
SRR10983646	17894475	0	4657579	0	0	0	0	0	15314683	0	85.58	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	17894475
SRR10983647	24768188	0	6257719	0	0	0	0	0	21830294	0	88.14	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	24768188
SRR10983648	22536390	0	5828891	0	0	0	0	0	19894199	0	88.28	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	22536390
SRR10983649	18620307	0	4284601	0	0	0	0	0	16688584	0	89.63	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	18620307
SRR10983650	1198046	0	86397	0	0	0	0	0	250667	0	20.92	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1198046
SRR10983651	19008518	0	4614662	0	0	0	0	0	16694900	0	87.83	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	19008518
SRR10983652	16047521	0	1222604	0	0	0	0	0	3055758	0	19.04	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	16047521
SRR10983653	17457200	0	303228	0	0	0	0	0	590167	0	3.38	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	17457200
SRR10983654	18322593	0	749233	0	0	0	0	0	1915542	0	10.45	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	18322593
SRR10983655	18288820	0	3302159	0	0	0	0	0	6052221	0	33.09	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	18288820
SRR10983656	867126	0	112150	0	0	0	0	0	414506	0	47.8	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	867126
SRR10983657	16451232	0	6865714	0	0	0	0	0	12288508	0	74.7	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	16451232
SRR10983658	12381197	0	2363950	0	0	0	0	0	9894077	0	79.91	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	12381197
SRR10983659	18159530	0	4320345	0	0	0	0	0	16264702	0	89.57	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	18159530
SRR10983660	18016023	0	5080454	0	0	0	0	0	15919228	0	88.36	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	18016023
SRR10983661	17841637	0	2926008	0	0	0	0	0	10034072	0	56.24	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	17841637
SRR10983662	16170142	0	3658988	0	0	0	0	0	14579974	0	90.17	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	16170142
SRR10983663	15972091	0	3747453	0	0	0	0	0	14086381	0	88.19	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	15972091
