Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent	reads_mapped_MQ1
SRR10983637	19297947.0	0.0	19297947.0	1.0	19297947.0	0.0	1245162.0	0.0	18052785.0	0.0	0.0	0.0	130101.0	0.0	985246.0	0.0	901718618.0	901718618.0	0.0	63464151.0	58472624.0	0.0	0.0	162657.0	0.002781763	47.0	47.0	0.0	51.0	51.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.452302931498361	0.0	93.54769706850163	0.0	0.0	0.0	0.6741701591366169	0.0	1115061.0
SRR10983638	20892496.0	0.0	20892496.0	1.0	20892496.0	0.0	15759111.0	0.0	5133385.0	0.0	0.0	0.0	1210760.0	0.0	8642162.0	0.0	1060558465.0	1060558465.0	0.0	803582500.0	739656685.0	0.0	0.0	1965224.0	0.002656941	51.0	51.0	0.0	51.0	51.0	0.0	34.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.42952742458345	0.0	24.570472575416552	0.0	0.0	0.0	5.7951907708873085	0.0	14548351.0
SRR10983639	20204182.0	0.0	20204182.0	1.0	20204182.0	0.0	15015395.0	0.0	5188787.0	0.0	0.0	0.0	1061339.0	0.0	7633021.0	0.0	1024179412.0	1024179412.0	0.0	765669545.0	705374922.0	0.0	0.0	1878121.0	0.002662586	51.0	51.0	0.0	51.0	51.0	0.0	34.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.31825252811521	0.0	25.68174747188478	0.0	0.0	0.0	5.2530659246684674	0.0	13954056.0
SRR10983640	15751057.0	0.0	15751057.0	1.0	15751057.0	0.0	12425722.0	0.0	3325335.0	0.0	0.0	0.0	664724.0	0.0	4114752.0	0.0	800667012.0	800667012.0	0.0	633607672.0	585929515.0	0.0	0.0	1621960.0	0.002768183	51.0	51.0	0.0	51.0	51.0	0.0	34.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.88817874254407	0.0	21.11182125745593	0.0	0.0	0.0	4.220186619856686	0.0	11760998.0
SRR10983641	12742629.0	0.0	12742629.0	1.0	12742629.0	0.0	447360.0	0.0	12295269.0	0.0	0.0	0.0	72467.0	0.0	622611.0	0.0	633028612.0	633028612.0	0.0	22809720.0	21187229.0	0.0	0.0	117109.0	0.005527339	50.0	50.0	0.0	51.0	51.0	0.0	34.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.510735500499936	0.0	96.48926449950007	0.0	0.0	0.0	0.5686974014545978	0.0	374893.0
SRR10983642	20708719.0	0.0	20708719.0	1.0	20708719.0	0.0	15743334.0	0.0	4965385.0	0.0	0.0	0.0	1715386.0	0.0	12458473.0	0.0	1051236412.0	1051236412.0	0.0	802741270.0	738492984.0	0.0	0.0	2258001.0	0.00305758	51.0	51.0	0.0	51.0	51.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.02273226074486	0.0	23.977267739255144	0.0	0.0	0.0	8.283399856842907	0.0	14027948.0
SRR10983643	14455194.0	0.0	14455194.0	1.0	14455194.0	0.0	7702062.0	0.0	6753132.0	0.0	0.0	0.0	3156938.0	0.0	28909616.0	0.0	727023872.0	727023872.0	0.0	392607431.0	358262826.0	0.0	0.0	894237.0	0.002496036	50.0	50.0	0.0	51.0	51.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.282314993489535	0.0	46.717685006510465	0.0	0.0	0.0	21.839471680559942	0.0	4545124.0
SRR10983644	16481747.0	0.0	16481747.0	1.0	16481747.0	0.0	4024846.0	0.0	12456901.0	0.0	0.0	0.0	221309.0	0.0	1219472.0	0.0	832107961.0	832107961.0	0.0	205242403.0	190361211.0	0.0	0.0	652426.0	0.003427305	50.0	50.0	0.0	51.0	51.0	0.0	34.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.420020523309816	0.0	75.57997947669018	0.0	0.0	0.0	1.3427520759783536	0.0	3803537.0
SRR10983645	1890084.0	0.0	1890084.0	1.0	1890084.0	0.0	32321.0	0.0	1857763.0	0.0	0.0	0.0	2580.0	0.0	20425.0	0.0	93309352.0	93309352.0	0.0	1647792.0	1527403.0	0.0	0.0	5073.0	0.003321324	49.0	49.0	0.0	51.0	51.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.710029818780541	0.0	98.28997018121946	0.0	0.0	0.0	0.1365018697581695	0.0	29741.0
SRR10983646	13236896.0	0.0	13236896.0	1.0	13236896.0	0.0	10657104.0	0.0	2579792.0	0.0	0.0	0.0	797458.0	0.0	4657579.0	0.0	675081696.0	675081696.0	0.0	543512304.0	500633858.0	0.0	0.0	1484928.0	0.002966096	51.0	51.0	0.0	51.0	51.0	0.0	34.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.5105970463166	0.0	19.489402953683403	0.0	0.0	0.0	6.024509069195679	0.0	9859646.0
