Sample	Total Reads	Total Passed QC	Mapped	Secondary Alignments	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
SRR10983637	100.0	100.0	10.996335734713957	4.857450205201913	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983638	100.0	100.0	82.61911480403802	29.26108709300104	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983639	100.0	100.0	81.36024298130813	27.420215314017	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983640	100.0	100.0	83.26101393605465	20.7127331184952	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983641	100.0	100.0	8.005625039281	4.658434865367176	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983642	100.0	100.0	85.02922707475507	37.562640213859524	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983643	100.0	100.0	84.42716110136307	66.66607325156042	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983644	100.0	100.0	29.626874849692552	6.889197856938553	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983645	100.0	100.0	2.760834939798766	1.06908682450593	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983646	100.0	100.0	85.58330434393856	26.028028204236225	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983647	100.0	100.0	88.13843790268388	25.26514656623246	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983648	100.0	100.0	88.27589068169303	25.864350945293367	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983649	100.0	100.0	89.6257188455593	23.010367122303624	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983650	100.0	100.0	20.922986262630985	7.211492713969246	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983651	100.0	100.0	87.82851982463862	24.27681105912623	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983652	100.0	100.0	19.041931772514893	7.618647141823338	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983653	100.0	100.0	3.380650963499301	1.7369795843548794	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983654	100.0	100.0	10.454535556184652	4.089121010328615	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983655	100.0	100.0	33.09246304572957	18.055615397822276	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983656	100.0	100.0	47.80228017612204	12.933529844566996	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983657	100.0	100.0	74.69658199458861	41.733737631321475	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983658	100.0	100.0	79.91211996707588	19.09306507278739	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983659	100.0	100.0	89.56565505825316	23.791061773074524	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983660	100.0	100.0	88.36149909444498	28.19964206306797	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983661	100.0	100.0	56.23963765208316	16.399885279585053	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983662	100.0	100.0	90.16602327920188	22.628051132760614	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983663	100.0	100.0	88.19371865587293	23.462507194580848	0.0	0.0	0.0	0.0	0.0	0.0	0.0
