Sample	Total Reads	Total Passed QC	Mapped	Secondary Alignments	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
SRR10983637	20.283193	20.283193	2.2304079999999997	0.985246	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983638	29.534658	29.534658	24.401273	8.642161999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983639	27.837203	27.837203	22.648415999999997	7.633020999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983640	19.865809	19.865809	16.540474	4.114752	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983641	13.36524	13.36524	1.069971	0.622611	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983642	33.167192	33.167192	28.201807	12.458473	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983643	43.36481	43.36481	36.611678	28.909616	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983644	17.701219	17.701219	5.244318	1.219472	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983645	1.910509	1.910509	0.052745999999999994	0.020425	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983646	17.894475	17.894475	15.314682999999999	4.657579	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983647	24.768188	24.768188	21.830294	6.257719	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983648	22.536389999999997	22.536389999999997	19.894199	5.828891	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983649	18.620307	18.620307	16.688584	4.284600999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983650	1.198046	1.198046	0.250667	0.086397	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983651	19.008518	19.008518	16.6949	4.614662	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983652	16.047521	16.047521	3.055758	1.222604	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983653	17.4572	17.4572	0.590167	0.303228	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983654	18.322592999999998	18.322592999999998	1.9155419999999999	0.7492329999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983655	18.288819999999998	18.288819999999998	6.052220999999999	3.302159	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983656	0.867126	0.867126	0.414506	0.11215	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983657	16.451232	16.451232	12.288508	6.865714	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983658	12.381197	12.381197	9.894077	2.36395	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983659	18.15953	18.15953	16.264702	4.320345	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983660	18.016023	18.016023	15.919227999999999	5.080454	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983661	17.841637	17.841637	10.034072	2.926008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983662	16.170142	16.170142	14.579974	3.658988	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983663	15.972090999999999	15.972090999999999	14.086381	3.7474529999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0
