Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR10983637	('1', 0.15602436863569355)	('10', 0.03343289658214999)	('11', 0.04719002083923659)	('12', 0.04240300429338489)	('13', 0.019827762454223623)	('14', 0.04575396071032744)	('15', 0.024690549890423637)	('16', 0.031326555500159614)	('17', 0.04818221598918225)	('18', 0.0177572892493212)	('19', 0.018296652451031382)	('2', 0.06139908034763147)	('20', 0.014960043184924015)	('21', 0.04112162438441756)	('22', 0.012606662099490318)	('3', 0.049040803296975265)	('4', 0.03647807934691769)	('5', 0.05017377986449116)	('6', 0.053034691410719474)	('7', 0.04261776320744904)	('8', 0.033440518506031185)	('9', 0.038173284887787345)	('MT', 0.0013181444829824856)	('X', 0.032794000021520726)	('Y', 0.005765312893425777)	('KI270733.1', 0.017306250694940118)	('GL000220.1', 0.01761964627099616)	('KI270713.1', 0.00445658372817888)
SRR10983638	('1', 0.11249818810682541)	('10', 0.03570629286431081)	('11', 0.04871192580813304)	('12', 0.038940960170397665)	('13', 0.017279795197570225)	('14', 0.0397546062453381)	('15', 0.026463209521896666)	('16', 0.03148999644403798)	('17', 0.03748620000276215)	('18', 0.01465210442094558)	('19', 0.018401539952444285)	('2', 0.06154732173194407)	('20', 0.01512453878943119)	('21', 0.09079858251657608)	('22', 0.012905146383141568)	('3', 0.05213416529539258)	('4', 0.03284631912441617)	('5', 0.046097717934633985)	('6', 0.04115350867145333)	('7', 0.040251834402246146)	('8', 0.030220595458277936)	('9', 0.034508240615151516)	('MT', 0.009091206020276073)	('X', 0.021832877325703458)	('Y', 0.0009092968223420147)	('KI270733.1', 0.041461115573765354)	('GL000220.1', 0.04198350635231203)	('KI270713.1', 0.003690709087185738)
SRR10983639	('1', 0.11256151423569755)	('10', 0.035236901335616584)	('11', 0.049318636676401566)	('12', 0.03891905729742866)	('13', 0.017103491917492154)	('14', 0.040880298207168216)	('15', 0.0275687712553496)	('16', 0.03538318088117067)	('17', 0.03940098945550982)	('18', 0.015297007967356304)	('19', 0.020099551332861423)	('2', 0.05998150157609256)	('20', 0.016266744658875922)	('21', 0.0790238487318495)	('22', 0.014793705661358392)	('3', 0.05223522033505566)	('4', 0.03430924264195783)	('5', 0.0460920975665583)	('6', 0.04322368504711323)	('7', 0.042931214262401395)	('8', 0.03120615587421213)	('9', 0.03537103875167252)	('MT', 0.011284762695987216)	('X', 0.021349528373198375)	('Y', 0.0025278589019205582)	('KI270733.1', 0.03559105413817902)	('GL000220.1', 0.0358249336289125)	('KI270713.1', 0.003917315895292634)
SRR10983640	('1', 0.10996885578974339)	('10', 0.04316496613095852)	('11', 0.05343716268348779)	('12', 0.04357517202953192)	('13', 0.020401350045953944)	('14', 0.03575598861314373)	('15', 0.03026503351717732)	('16', 0.0390005751951244)	('17', 0.041213147821519504)	('18', 0.016290343311805938)	('19', 0.023494066735935137)	('2', 0.07080583059469758)	('20', 0.01848236029995271)	('21', 0.034528998382996764)	('22', 0.016897278759967823)	('3', 0.06083404864939179)	('4', 0.038163416598581155)	('5', 0.05508723631499315)	('6', 0.05003732057497264)	('7', 0.050836874445073336)	('8', 0.03494071572555901)	('9', 0.0376716531823695)	('MT', 0.017471385644691924)	('X', 0.025270799373705976)	('Y', 0.0029671459233876854)	('KI270733.1', 0.01234245161293443)	('GL000220.1', 0.012777687023963159)	('KI270713.1', 0.001952725175832325)
SRR10983641	('1', 0.05179299252035803)	('10', 0.012302202583060662)	('11', 0.0736356405921282)	('12', 0.02380625269282999)	('13', 0.012422766598347058)	('14', 0.11167592392691017)	('15', 0.014360202285856346)	('16', 0.012764831944043343)	('17', 0.016100436366966956)	('18', 0.01284801176854326)	('19', 0.008920802526423613)	('2', 0.037702891012933996)	('20', 0.008932017783659558)	('21', 0.15226020144471206)	('22', 0.009230156705181729)	('3', 0.07151034934591685)	('4', 0.023803448878521007)	('5', 0.016152774234068027)	('6', 0.02079121770590044)	('7', 0.026519410339158726)	('8', 0.04828915923889526)	('9', 0.04900880491153498)	('MT', 0.006617001769206829)	('X', 0.02322399392133058)	('Y', 0.001718738171408384)	('KI270733.1', 0.07133931667306871)	('GL000220.1', 0.07279636550897174)	('KI270713.1', 0.0006121661241285978)
SRR10983642	('1', 0.08015018328435479)	('10', 0.028560723077070912)	('11', 0.044905739550660705)	('12', 0.03118027153366449)	('13', 0.013029094199531258)	('14', 0.03129742714713281)	('15', 0.02030830861299065)	('16', 0.02710851116738725)	('17', 0.029992475304862556)	('18', 0.011066844050099342)	('19', 0.01841023874817667)	('2', 0.04566444979926286)	('20', 0.012627985150029572)	('21', 0.15815968813629566)	('22', 0.01278233696159966)	('3', 0.043011747438736814)	('4', 0.02460150869056015)	('5', 0.034453962471270014)	('6', 0.03301412565513976)	('7', 0.03200195647037794)	('8', 0.025939401684438163)	('9', 0.028203121877970444)	('MT', 0.03110258147642809)	('X', 0.017543733988393012)	('Y', 0.0017422642456917743)	('KI270733.1', 0.07957514920941058)	('GL000220.1', 0.07983970672517544)	('KI270713.1', 0.0016223073932815724)
SRR10983643	('1', 0.034492901417957404)	('10', 0.00504691426598912)	('11', 0.0107473631773993)	('12', 0.010981222985736956)	('13', 0.0026744198941113816)	('14', 0.01254583305359563)	('15', 0.004464340585536669)	('16', 0.007134035211388017)	('17', 0.008329691963312909)	('18', 0.002061664586911313)	('19', 0.00467667720665521)	('2', 0.011758843721940306)	('20', 0.003639139402460603)	('21', 0.3954182870285268)	('22', 0.003699557283334569)	('3', 0.009784856077888591)	('4', 0.005457903349854656)	('5', 0.010012187914468165)	('6', 0.0069493946712849385)	('7', 0.006600708112859509)	('8', 0.012698735086657323)	('9', 0.006530730440708016)	('MT', 0.005692090922464685)	('X', 0.007521070189681008)	('Y', 0.0003156916216732814)	('KI270733.1', 0.20409023590778877)	('GL000220.1', 0.2042187195025587)	('KI270713.1', 0.0016475344287688754)
SRR10983644	('1', 0.0996135245803172)	('10', 0.03483446274615689)	('11', 0.08084807214207834)	('12', 0.046768140299653836)	('13', 0.01384527025249041)	('14', 0.034108343544384606)	('15', 0.031683242701910905)	('16', 0.035379814877740064)	('17', 0.05008353803106524)	('18', 0.017206622481703054)	('19', 0.022197738581070027)	('2', 0.0650031138462618)	('20', 0.014095445775790102)	('21', 0.029738852601997056)	('22', 0.017190986511496822)	('3', 0.05891423822887933)	('4', 0.04213855834066508)	('5', 0.049857007145638385)	('6', 0.037531667606731704)	('7', 0.03666024829157957)	('8', 0.03647814644344603)	('9', 0.03355097841130153)	('MT', 0.058911568672990466)	('X', 0.024150900078904445)	('Y', 0.0026323727889880056)	('KI270733.1', 0.010743627674751989)	('GL000220.1', 0.011095437004392182)	('KI270713.1', 0.003175627412372781)
SRR10983645	('1', 0.09911652068403291)	('10', 0.03960489894968339)	('11', 0.028362340272248134)	('12', 0.038353619231790086)	('13', 0.019944640351875025)	('14', 0.029727372691768096)	('15', 0.03698858681227012)	('16', 0.024418913282523793)	('17', 0.021404466689417208)	('18', 0.016001213362150685)	('19', 0.015337655935995146)	('2', 0.06233648049141167)	('20', 0.013536571493572973)	('21', 0.07936146816820233)	('22', 0.012095703939635234)	('3', 0.03894134152352785)	('4', 0.052003943426989725)	('5', 0.030637394304781407)	('6', 0.06110415955712282)	('7', 0.04297956243127441)	('8', 0.062108975088158346)	('9', 0.0531604292268608)	('MT', 0.006900997232017593)	('X', 0.025878739620065976)	('Y', 0.0035832101012399043)	('KI270733.1', 0.038277784097372314)	('GL000220.1', 0.038467371933416754)	('KI270713.1', 5.687635081333182e-05)
SRR10983646	('1', 0.09293055559817986)	('10', 0.03632886165518411)	('11', 0.04997876874108331)	('12', 0.04157428527903581)	('13', 0.016028735299320265)	('14', 0.0403939800778116)	('15', 0.02719573105104428)	('16', 0.03799157971470908)	('17', 0.04374161711345902)	('18', 0.014719991265898224)	('19', 0.023971766180207583)	('2', 0.059659543720232404)	('20', 0.016217181903144844)	('21', 0.06510360025081811)	('22', 0.01575729644550919)	('3', 0.05929681992111753)	('4', 0.03291906205306372)	('5', 0.044662236887306125)	('6', 0.043836558680320055)	('7', 0.043875736768433274)	('8', 0.03116172891074533)	('9', 0.036196766201429045)	('MT', 0.04113457653677846)	('X', 0.021821542110927142)	('Y', 0.0022486916640716624)	('KI270733.1', 0.029101614444125287)	('GL000220.1', 0.029473349203506204)	('KI270713.1', 0.0010412882852358094)
