Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR10983637	('1', 1.942655846427564)	('10', 0.7745563676506352)	('11', 1.0828407640458917)	('12', 0.9862197581082095)	('13', 0.5374151361586553)	('14', 1.324934103682584)	('15', 0.750403544669486)	('16', 1.0748980723975694)	('17', 1.7938679932199544)	('18', 0.6848441008765173)	('19', 0.9675429579408514)	('2', 0.7858254684918122)	('20', 0.7195748934698655)	('21', 2.7288981182229213)	('22', 0.7689627694892043)	('3', 0.7666044867454437)	('4', 0.5944495290955474)	('5', 0.8567131304246474)	('6', 0.9624623431904928)	('7', 0.8290416106207098)	('8', 0.7141948836377547)	('9', 0.855001331007002)	('MT', 246.60023583515593)	('X', 0.6514524613102283)	('Y', 0.3122809719937762)	('KI270733.1', 298.40610894649126)	('GL000220.1', 337.551520867643)	('KI270713.1', 339.04279325683154)
SRR10983638	('1', 1.4007123678771023)	('10', 0.827225258071607)	('11', 1.1177629935769888)	('12', 0.9056986635671546)	('13', 0.4683545866728763)	('14', 1.1512059890594801)	('15', 0.8042788158502949)	('16', 1.080506169193427)	('17', 1.3956455300332085)	('18', 0.565086660313026)	('19', 0.9730895006015744)	('2', 0.7877227583961197)	('20', 0.7274870970394913)	('21', 6.0255421490763315)	('22', 0.7871692780474646)	('3', 0.814959836325552)	('4', 0.5352660909127914)	('5', 0.7871147109879642)	('6', 0.746845156120423)	('7', 0.7830172940057893)	('8', 0.6454264353854376)	('9', 0.7729120442056516)	('MT', 1700.7950020421679)	('X', 0.43370987564737573)	('Y', 0.0492525038555346)	('KI270733.1', 714.9006673389634)	('GL000220.1', 804.3065225382676)	('KI270713.1', 280.7774731361668)
SRR10983639	('1', 1.4015008400597542)	('10', 0.8163506335359186)	('11', 1.1316848196000997)	('12', 0.9051892410287911)	('13', 0.46357603178111184)	('14', 1.1838035532334912)	('15', 0.837879422046425)	('16', 1.2140917607194672)	('17', 1.4669348935986035)	('18', 0.5899586091331769)	('19', 1.0628818250731156)	('2', 0.7676823709737144)	('20', 0.7824269562809821)	('21', 5.2441515948672865)	('22', 0.9023648596741709)	('3', 0.8165395259229028)	('4', 0.5591060027632743)	('5', 0.787018743669152)	('6', 0.7844142783748518)	('7', 0.835139161216773)	('8', 0.6664752180605373)	('9', 0.7922369086307155)	('MT', 2111.168523709698)	('X', 0.4241081538514825)	('Y', 0.13692270472519055)	('KI270733.1', 613.6850878846388)	('GL000220.1', 686.3225654721442)	('KI270713.1', 298.0170023086551)
SRR10983640	('1', 1.369219709029621)	('10', 1.0000240120985615)	('11', 1.226190135956054)	('12', 1.0134823306657281)	('13', 0.552961754412749)	('14', 1.035414814126618)	('15', 0.919825136808283)	('16', 1.3382142540191526)	('17', 1.5344032078861902)	('18', 0.6282685021177988)	('19', 1.2423867636216195)	('2', 0.9062191922745394)	('20', 0.8889975971000309)	('21', 2.291400695425538)	('22', 1.0306755404050436)	('3', 0.9509561733543369)	('4', 0.6219139119127085)	('5', 0.9406099918587172)	('6', 0.9080666923203409)	('7', 0.9889276465241574)	('8', 0.746234852708244)	('9', 0.8437658353699791)	('MT', 3268.5702333628274)	('X', 0.502004160531629)	('Y', 0.1607168995215274)	('KI270733.1', 212.81691948175333)	('GL000220.1', 244.79082166418885)	('KI270713.1', 148.5571546408866)
SRR10983641	('1', 0.644873365638057)	('10', 0.2850111812305602)	('11', 1.6896723481311076)	('12', 0.5536918235731811)	('13', 0.33670883531771123)	('14', 3.2338892168875635)	('15', 0.4364401256878028)	('16', 0.43799559294226265)	('17', 0.5994339795841086)	('18', 0.49550834838235636)	('19', 0.4717398270925554)	('2', 0.4825461851543437)	('20', 0.4296281545246365)	('21', 10.104235506809557)	('22', 0.5630076230188518)	('3', 1.117847811858644)	('4', 0.38790279614549883)	('5', 0.27580728054544285)	('6', 0.3773146138634831)	('7', 0.5158810084252576)	('8', 1.031319848027109)	('9', 1.097694200370759)	('MT', 1237.917555984437)	('X', 0.4613443920100055)	('Y', 0.09309628752018843)	('KI270733.1', 1230.0808695401627)	('GL000220.1', 1394.6093759918022)	('KI270713.1', 46.57166235864274)
SRR10983642	('1', 0.9979480994609986)	('10', 0.6616803264322216)	('11', 1.030424747866458)	('12', 0.7251986117992153)	('13', 0.35314284450555816)	('14', 0.9063046770374477)	('15', 0.6172169853268733)	('16', 0.930165667248162)	('17', 1.1166473019612142)	('18', 0.42681418073542055)	('19', 0.9735495005155455)	('2', 0.5844434062164395)	('20', 0.6074033982889018)	('21', 10.495735073573854)	('22', 0.7796783282494169)	('3', 0.6723584515861957)	('4', 0.40090803896393234)	('5', 0.5882985520328489)	('6', 0.5991333576423673)	('7', 0.6225327548532323)	('8', 0.5539922463914267)	('9', 0.6316906395428403)	('MT', 5818.712611697233)	('X', 0.34850608891292406)	('Y', 0.09437058875591017)	('KI270733.1', 1372.0886784194847)	('GL000220.1', 1529.543443506706)	('KI270713.1', 123.42001490100041)
SRR10983643	('1', 0.42947032688402265)	('10', 0.11692434641740866)	('11', 0.24661321922573679)	('12', 0.25540405113265374)	('13', 0.07248794385435675)	('14', 0.36329974091325185)	('15', 0.1356817492873216)	('16', 0.24478786686580642)	('17', 0.3101220543638618)	('18', 0.07951207025510423)	('19', 0.24730677428409442)	('2', 0.15049734986905558)	('20', 0.1750418307940786)	('21', 26.24060298045936)	('22', 0.22566019395347492)	('3', 0.1529566007726972)	('4', 0.08894240415769747)	('5', 0.1709572783587377)	('6', 0.12611614211690364)	('7', 0.12840330588175383)	('8', 0.27120906112523907)	('9', 0.14627463252552575)	('MT', 1064.8839956443471)	('X', 0.1494059792504529)	('Y', 0.017099589959608315)	('KI270733.1', 3519.0622304472204)	('GL000220.1', 3912.3565988498103)	('KI270713.1', 125.33920796431565)
SRR10983644	('1', 1.240285716912934)	('10', 0.8070271406914258)	('11', 1.8551716369909903)	('12', 1.0877451912220042)	('13', 0.37526462277696576)	('14', 0.9877026355857415)	('15', 0.962927830107134)	('16', 1.2139762641210865)	('17', 1.8646559527547186)	('18', 0.6636065751451368)	('19', 1.173835798860331)	('2', 0.8319522393894586)	('20', 0.6779879420900178)	('21', 1.9735188022983556)	('22', 1.0485906970304693)	('3', 0.920945749724994)	('4', 0.6866931212070573)	('5', 0.8513042625192507)	('6', 0.681116751842182)	('7', 0.7131503157841462)	('8', 0.7790700239830074)	('9', 0.7514713832612151)	('MT', 11021.255192987415)	('X', 0.47975737296258336)	('Y', 0.1425837501608142)	('KI270733.1', 185.24891306063876)	('GL000220.1', 212.56281641072692)	('KI270713.1', 241.5916885900849)
SRR10983645	('1', 1.2340975327641592)	('10', 0.917546183779225)	('11', 0.6508134064012753)	('12', 0.892038140025171)	('13', 0.5405830151074413)	('14', 0.8608393520632547)	('15', 1.1241696430182773)	('16', 0.8378783558663032)	('17', 0.7969078822507656)	('18', 0.6171176480866469)	('19', 0.8110686384795642)	('2', 0.7978229268084464)	('20', 0.6511062080523309)	('21', 5.266556571770092)	('22', 0.7377960896341808)	('3', 0.6087299784027874)	('4', 0.8474601797777397)	('5', 0.523130967086642)	('6', 1.1089053414223748)	('7', 0.8360796761752408)	('8', 1.3264720230922036)	('9', 1.1906818572066586)	('MT', 1291.04780764455)	('X', 0.5140808870535802)	('Y', 0.19408631482067198)	('KI270733.1', 660.0115075722515)	('GL000220.1', 736.9455493144809)	('KI270713.1', 4.326972862212423)
SRR10983646	('1', 1.1570762229206402)	('10', 0.8416486156196613)	('11', 1.1468324693908547)	('12', 0.9669452024607804)	('13', 0.43444564071324704)	('14', 1.1697208494670768)	('15', 0.826541857963921)	('16', 1.3035929150420424)	('17', 1.628540433448173)	('18', 0.5677048473932819)	('19', 1.2676479273538959)	('2', 0.7635617443864192)	('20', 0.7800429982780264)	('21', 4.320381183222834)	('22', 0.9611405635192695)	('3', 0.9269262562032505)	('4', 0.5364515151580845)	('5', 0.7626039911449919)	('6', 0.7955365792199302)	('7', 0.8535129190288984)	('8', 0.6655263837893873)	('9', 0.8107314676047772)	('MT', 7695.511687760577)	('X', 0.43348470172651626)	('Y', 0.12180147574841098)	('KI270733.1', 501.78976852978514)	('GL000220.1', 564.6409522467774)	('KI270713.1', 79.2179190036738)
