Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR10983637	('1', 347998)	('10', 74569)	('11', 105253)	('12', 94576)	('13', 44224)	('14', 102050)	('15', 55070)	('16', 69871)	('17', 107466)	('18', 39606)	('19', 40809)	('2', 136945)	('20', 33367)	('21', 91718)	('22', 28118)	('3', 109381)	('4', 81361)	('5', 111908)	('6', 118289)	('7', 95055)	('8', 74586)	('9', 85142)	('MT', 2940)	('X', 73144)	('Y', 12859)	('KI270733.1', 38600)	('GL000220.1', 39299)	('KI270713.1', 9940)
SRR10983638	('1', 2745099)	('10', 871279)	('11', 1188633)	('12', 950209)	('13', 421649)	('14', 970063)	('15', 645736)	('16', 768396)	('17', 914711)	('18', 357530)	('19', 449021)	('2', 1501833)	('20', 369058)	('21', 2215601)	('22', 314902)	('3', 1272140)	('4', 801492)	('5', 1124843)	('6', 1004198)	('7', 982196)	('8', 737421)	('9', 842045)	('MT', 221837)	('X', 532750)	('Y', 22188)	('KI270733.1', 1011704)	('GL000220.1', 1024451)	('KI270713.1', 90058)
SRR10983639	('1', 2549340)	('10', 798060)	('11', 1116989)	('12', 881455)	('13', 387367)	('14', 925874)	('15', 624389)	('16', 801373)	('17', 892370)	('18', 346453)	('19', 455223)	('2', 1358486)	('20', 368416)	('21', 1789765)	('22', 335054)	('3', 1183045)	('4', 777050)	('5', 1043913)	('6', 978948)	('7', 972324)	('8', 706770)	('9', 801098)	('MT', 255582)	('X', 483533)	('Y', 57252)	('KI270733.1', 806081)	('GL000220.1', 811378)	('KI270713.1', 88721)
SRR10983640	('1', 1818937)	('10', 713969)	('11', 883876)	('12', 720754)	('13', 337448)	('14', 591421)	('15', 500598)	('16', 645088)	('17', 681685)	('18', 269450)	('19', 388603)	('2', 1171162)	('20', 305707)	('21', 571126)	('22', 279489)	('3', 1006224)	('4', 631241)	('5', 911169)	('6', 827641)	('7', 840866)	('8', 577936)	('9', 623107)	('MT', 288985)	('X', 417991)	('Y', 49078)	('KI270733.1', 204150)	('GL000220.1', 211349)	('KI270713.1', 32299)
SRR10983641	('1', 55417)	('10', 13163)	('11', 78788)	('12', 25472)	('13', 13292)	('14', 119490)	('15', 15365)	('16', 13658)	('17', 17227)	('18', 13747)	('19', 9545)	('2', 40341)	('20', 9557)	('21', 162914)	('22', 9876)	('3', 76514)	('4', 25469)	('5', 17283)	('6', 22246)	('7', 28375)	('8', 51668)	('9', 52438)	('MT', 7080)	('X', 24849)	('Y', 1839)	('KI270733.1', 76331)	('GL000220.1', 77890)	('KI270713.1', 655)
SRR10983642	('1', 2260380)	('10', 805464)	('11', 1266423)	('12', 879340)	('13', 367444)	('14', 882644)	('15', 572731)	('16', 764509)	('17', 845842)	('18', 312105)	('19', 519202)	('2', 1287820)	('20', 356132)	('21', 4460389)	('22', 360485)	('3', 1213009)	('4', 693807)	('5', 971664)	('6', 931058)	('7', 902513)	('8', 731538)	('9', 795379)	('MT', 877149)	('X', 494765)	('Y', 49135)	('KI270733.1', 2244163)	('GL000220.1', 2251624)	('KI270713.1', 45752)
SRR10983643	('1', 1262843)	('10', 184776)	('11', 393479)	('12', 402041)	('13', 97915)	('14', 459324)	('15', 163447)	('16', 261189)	('17', 304964)	('18', 75481)	('19', 171221)	('2', 430511)	('20', 133235)	('21', 14476927)	('22', 135447)	('3', 358240)	('4', 199823)	('5', 366563)	('6', 254429)	('7', 241663)	('8', 464922)	('9', 239101)	('MT', 208397)	('X', 275359)	('Y', 11558)	('KI270733.1', 7472086)	('GL000220.1', 7476790)	('KI270713.1', 60319)
SRR10983644	('1', 522405)	('10', 182683)	('11', 423993)	('12', 245267)	('13', 72609)	('14', 178875)	('15', 166157)	('16', 185543)	('17', 262654)	('18', 90237)	('19', 116412)	('2', 340897)	('20', 73921)	('21', 155960)	('22', 90155)	('3', 308965)	('4', 220988)	('5', 261466)	('6', 196828)	('7', 192258)	('8', 191303)	('9', 175952)	('MT', 308951)	('X', 126655)	('Y', 13805)	('KI270733.1', 56343)	('GL000220.1', 58188)	('KI270713.1', 16654)
SRR10983645	('1', 5228)	('10', 2089)	('11', 1496)	('12', 2023)	('13', 1052)	('14', 1568)	('15', 1951)	('16', 1288)	('17', 1129)	('18', 844)	('19', 809)	('2', 3288)	('20', 714)	('21', 4186)	('22', 638)	('3', 2054)	('4', 2743)	('5', 1616)	('6', 3223)	('7', 2267)	('8', 3276)	('9', 2804)	('MT', 364)	('X', 1365)	('Y', 189)	('KI270733.1', 2019)	('GL000220.1', 2029)	('KI270713.1', 3)
SRR10983646	('1', 1423202)	('10', 556365)	('11', 765409)	('12', 636697)	('13', 245475)	('14', 618621)	('15', 416494)	('16', 581829)	('17', 669889)	('18', 225432)	('19', 367120)	('2', 913667)	('20', 248361)	('21', 997041)	('22', 241318)	('3', 908112)	('4', 504145)	('5', 683988)	('6', 671343)	('7', 671943)	('8', 477232)	('9', 554342)	('MT', 629963)	('X', 334190)	('Y', 34438)	('KI270733.1', 445682)	('GL000220.1', 451375)	('KI270713.1', 15947)
