Sample	Chromosome X	Chromosome Y
SRR10983637	73144.0	12859.0
SRR10983638	532750.0	22188.0
SRR10983639	483533.0	57252.0
SRR10983640	417991.0	49078.0
SRR10983641	24849.0	1839.0
SRR10983642	494765.0	49135.0
SRR10983643	275359.0	11558.0
SRR10983644	126655.0	13805.0
SRR10983645	1365.0	189.0
SRR10983646	334190.0	34438.0
SRR10983647	498107.0	19509.0
SRR10983648	448949.0	50941.0
SRR10983649	418580.0	16909.0
SRR10983650	8022.0	7260.0
SRR10983651	407634.0	16640.0
SRR10983652	60277.0	29324.0
SRR10983653	26678.0	2345.0
SRR10983654	97219.0	11270.0
SRR10983655	123620.0	6062.0
SRR10983656	10499.0	593.0
SRR10983657	177875.0	6779.0
SRR10983658	228748.0	9394.0
SRR10983659	355267.0	12351.0
SRR10983660	347349.0	13719.0
SRR10983661	214227.0	9312.0
SRR10983662	351996.0	13587.0
SRR10983663	335280.0	13326.0
