Sample	Total sequences	Mapped &amp; paired	Properly paired	Duplicated	QC Failed	Reads MQ0	Mapped bases (CIGAR)	Bases Trimmed	Duplicated bases	Diff chromosomes	Other orientation	Inward pairs	Outward pairs
SRR10983637	19.297947	0.0	0.0	0.0	0.0	0.130101	58.472623999999996	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983638	20.892495999999998	0.0	0.0	0.0	0.0	1.2107599999999998	739.6566849999999	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983639	20.204182	0.0	0.0	0.0	0.0	1.061339	705.374922	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983640	15.751057	0.0	0.0	0.0	0.0	0.664724	585.9295149999999	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983641	12.742628999999999	0.0	0.0	0.0	0.0	0.072467	21.187229	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983642	20.708719	0.0	0.0	0.0	0.0	1.7153859999999999	738.492984	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983643	14.455193999999999	0.0	0.0	0.0	0.0	3.156938	358.26282599999996	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983644	16.481747	0.0	0.0	0.0	0.0	0.22130899999999998	190.361211	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983645	1.8900839999999999	0.0	0.0	0.0	0.0	0.00258	1.5274029999999998	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983646	13.236896	0.0	0.0	0.0	0.0	0.797458	500.633858	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983647	18.510469	0.0	0.0	0.0	0.0	1.168332	730.513209	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983648	16.707499	0.0	0.0	0.0	0.0	1.012714	660.868062	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983649	14.335706	0.0	0.0	0.0	0.0	0.795503	583.739391	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983650	1.1116489999999999	0.0	0.0	0.0	0.0	0.006264	8.156682	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983651	14.393856	0.0	0.0	0.0	0.0	0.825741	568.781212	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983652	14.824917	0.0	0.0	0.0	0.0	0.17368999999999998	85.989282	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983653	17.153972	0.0	0.0	0.0	0.0	0.028718999999999998	13.686691999999999	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983654	17.57336	0.0	0.0	0.0	0.0	0.046807999999999995	57.473349	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983655	14.986661	0.0	0.0	0.0	0.0	0.35846	129.918427	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983656	0.754976	0.0	0.0	0.0	0.0	0.01672	14.302639	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983657	9.585518	0.0	0.0	0.0	0.0	0.850314	253.92466499999998	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983658	10.017247	0.0	0.0	0.0	0.0	0.43163199999999996	354.21836199999996	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983659	13.839184999999999	0.0	0.0	0.0	0.0	0.739947	562.656973	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983660	12.935569	0.0	0.0	0.0	0.0	0.857049	509.530328	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983661	14.915629	0.0	0.0	0.0	0.0	0.4875	333.555731	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983662	12.511154	0.0	0.0	0.0	0.0	0.668565	514.031572	0.0	0.0	0.0	0.0	0.0	0.0
SRR10983663	12.224637999999999	0.0	0.0	0.0	0.0	0.6534679999999999	486.53216499999996	0.0	0.0	0.0	0.0	0.0	0.0
