Sample	Mapped (with MQ>0)	MQ0	Unmapped
SRR10983637	1115061.0	130101.0	18052785.0
SRR10983638	14548351.0	1210760.0	5133385.0
SRR10983639	13954056.0	1061339.0	5188787.0
SRR10983640	11760998.0	664724.0	3325335.0
SRR10983641	374893.0	72467.0	12295269.0
SRR10983642	14027948.0	1715386.0	4965385.0
SRR10983643	4545124.0	3156938.0	6753132.0
SRR10983644	3803537.0	221309.0	12456901.0
SRR10983645	29741.0	2580.0	1857763.0
SRR10983646	9859646.0	797458.0	2579792.0
SRR10983647	14404243.0	1168332.0	2937894.0
SRR10983648	13052594.0	1012714.0	2642191.0
SRR10983649	11608480.0	795503.0	1931723.0
SRR10983650	158006.0	6264.0	947379.0
SRR10983651	11254497.0	825741.0	2313618.0
SRR10983652	1659464.0	173690.0	12991763.0
SRR10983653	258220.0	28719.0	16867033.0
SRR10983654	1119501.0	46808.0	16407051.0
SRR10983655	2391602.0	358460.0	12236599.0
SRR10983656	285636.0	16720.0	452620.0
SRR10983657	4572480.0	850314.0	4162724.0
SRR10983658	7098495.0	431632.0	2487120.0
SRR10983659	11204410.0	739947.0	1894828.0
SRR10983660	9981725.0	857049.0	2096795.0
SRR10983661	6620564.0	487500.0	7807565.0
SRR10983662	10252421.0	668565.0	1590168.0
SRR10983663	9685460.0	653468.0	1885710.0
