Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR27104543_1	59.109112752557074	55.0	76.0	76	27.27272727272727	55807024.0
SRR27104543_2	1.0400278514695316	54.0	76.0	76	18.181818181818183	55807024.0
SRR27104544_1	51.97517032483078	55.0	76.0	76	18.181818181818183	47670447.0
SRR27104544_2	0.7532182182396241	54.0	76.0	76	18.181818181818183	47670447.0
SRR27104545_1	48.85077642850592	53.0	76.0	76	9.090909090909092	56910386.0
SRR27104545_2	0.8245669729923151	52.0	76.0	76	18.181818181818183	56910386.0
SRR27104546_1	50.832925834427954	55.0	76.0	76	18.181818181818183	59002695.0
SRR27104546_2	0.7854586880492604	54.0	76.0	76	18.181818181818183	59002695.0
SRR27104547_1	57.562731910796764	58.0	76.0	76	27.27272727272727	55363235.0
SRR27104547_2	0.8163822434146368	56.0	76.0	76	18.181818181818183	55363235.0
SRR27104548_1	49.555132482865375	53.0	76.0	76	9.090909090909092	59878660.0
SRR27104548_2	0.7292168305752398	53.0	76.0	76	18.181818181818183	59878660.0
